"task","family","supported","reason","nodeBudget","operatorSet","binaryBudgetUsed","protectedCount","recognizedFeatures"
"5to10Traces/0000.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0002.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0003.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0004.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0005.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0006.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0007.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0008.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0009.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0010.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0011.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0012.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0013.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0014.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0015.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0016.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0017.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0018.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0019.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0020.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0021.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","5","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0022.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","10","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0023.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","10","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0024.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","10","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0025.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","10","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0026.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","10","Neg;X;F;G;And;Or;Imply;Until","2","",""
"5to10Traces/0027.trace","5to10Traces","false","BINARY_TEMPORAL_UNTIL_REQUIRED","10","Neg;X;F;G;And;Or;Imply;Until","2","",""
