task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount
literal.trace,literal.trace,atlas-b,1,SAT,,ATLAS_B,,3,2,0,3,,,,,1,MIN_EXPANDED_SIZE,0,1,0.101407348,,,0.033633056,0.149361918,0.071088231,0.228604958,1.131819855014328,107096,PASSED,2645,977,2169,,4,72,,,,,1,,1
repair.trace,repair.trace,atlas-b,1,SAT,,ATLAS_B,,4,2,2,4,,,,,2,REPAIR,1,2,0.150158586,,,0.039418087,0.131904507,0.049886662,0.174991117,1.0824858440028038,113616,PASSED,2737,1902,4499,,5,104,,,,,1,,1
literal.trace,literal.trace,macro,1,SAT,,MACRO,,3,2,0,3,1,24,1,1,1,MIN_EXPANDED_SIZE,0,1,0.099559457,0.009005609,0.073752182,0.03920928,0.613107554,0.083322837,0.085242263,1.2873213269922417,149812,PASSED,9906,4386,9309,,3,440,23,1,0.0,0,1,,1
repair.trace,repair.trace,macro,1,SAT,,MACRO,,4,2,2,4,1,34,2,2,2,REPAIR,1,2,0.135329853,0.013589483,0.076035459,0.052946471,0.585009415,0.080216807,0.093366349,1.2870272879954427,194024,PASSED,16475,8924,18836,,4,769,33,1,0.0,0,1,,1
nnf.trace,nnf.trace,atlas-b,1,SAT,,ATLAS_B,,3,2,0,3,,,,,2,MIN_EXPANDED_SIZE,0,2,0.110017333,,,0.030588915,0.13602366,0.051217571,0.198543772,1.0303867750044446,108540,PASSED,2681,984,2185,,4,72,,,,,1,,1
nnf.trace,nnf.trace,macro,1,SAT,,MACRO,,3,2,0,3,3,87,1,1,2,MIN_EXPANDED_SIZE,0,2,0.119518033,0.012969784,0.073237985,0.037354595,0.775713212,0.086142774,0.091273667,1.4913718719908502,209204,PASSED,16270,13323,36477,,3,1550,23,1,1.0,1,1,,1
next.trace,next.trace,atlas-b,1,SAT,,ATLAS_B,,3,2,0,3,,,,,2,MIN_EXPANDED_SIZE,0,2,0.096299845,,,0.029027355,0.122230963,0.052435838,0.178550411,0.97943392500747,106880,PASSED,2098,1160,2995,,4,85,,,,,1,,1
eventually.trace,eventually.trace,atlas-b,1,SAT,,ATLAS_B,,3,2,0,3,,,,,2,MIN_EXPANDED_SIZE,0,2,0.095214176,,,0.031795179,0.11697012,0.052243801,0.180473578,0.978385050984798,108932,PASSED,2044,742,1668,,4,67,,,,,1,,1
eventually.trace,eventually.trace,macro,1,SAT,,MACRO,,3,2,0,3,1,2,1,1,2,MIN_EXPANDED_SIZE,0,2,0.100886342,0.010007534,0.068930532,0.029581742,0.376455778,0.079091859,0.090882302,1.0298804490012117,95236,PASSED,3836,1818,4183,,3,171,2,1,1.0,1,1,,1
next.trace,next.trace,macro,1,SAT,,MACRO,,3,2,0,3,1,4,1,1,2,MIN_EXPANDED_SIZE,0,2,0.103532472,0.01168699,0.069357362,0.021807498,0.499735284,0.080028452,0.093931871,1.1323108039796352,100360,PASSED,5925,2716,5959,,3,234,4,1,1.0,1,1,,1
