"task","family","supported","reason","nodeBudget","operatorSet","binaryBudgetUsed","protectedCount","recognizedFeatures"
"AP/1.trace","AP","true","SUPPORTED_MACRO","11","Neg;X;F;G;And;Or;Imply","2","0",""
"AP/2.trace","AP","true","SUPPORTED_MACRO","11","Neg;X;F;G;And;Or;Imply","2","0",""
"AP/4.trace","AP","true","SUPPORTED_MACRO","11","Neg;X;F;G;And;Or;Imply","2","0",""
"AP/8.trace","AP","true","SUPPORTED_MACRO","11","Neg;X;F;G;And;Or;Imply","2","0",""
"B/0.trace","B","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"B/1.trace","B","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"B/11.trace","B","true","SUPPORTED_MACRO","11","Neg;X;F;G;And;Or;Imply","2","0",""
"B/15.trace","B","true","SUPPORTED_MACRO","15","Neg;X;F;G;And;Or;Imply","2","0",""
"B/2.trace","B","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"B/21.trace","B","true","SUPPORTED_MACRO","21","Neg;X;F;G;And;Or;Imply","2","0",""
"B/3.trace","B","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"B/31.trace","B","true","SUPPORTED_MACRO","31","Neg;X;F;G;And;Or;Imply","2","0",""
"B/4.trace","B","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"B/5.trace","B","true","SUPPORTED_MACRO","5","Neg;X;F;G;And;Or;Imply","2","0",""
"B/7.trace","B","true","SUPPORTED_MACRO","7","Neg;X;F;G;And;Or;Imply","2","0",""
"B/9.trace","B","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"ablation/nnf.trace","ablation","true","SUPPORTED_MACRO","7","Neg;X;F;G;And;Or;Imply","2","0","NNF"
"ablation/none.trace","ablation","true","SUPPORTED_MACRO","7","Neg;X;F;G;And;Or;Imply","2","0",""
"ablation/required.trace","ablation","true","SUPPORTED_MACRO","7","Neg;X;F;G;And;Or;Imply","2","0","RequiredProposition(x0)"
"control/ap2.trace","control","true","SUPPORTED_MACRO","3","Neg;And;Or;Imply","2","0",""
"control/ap3.trace","control","true","SUPPORTED_MACRO","5","Neg;And;Or;Imply","2","0",""
"control/ap4.trace","control","true","SUPPORTED_MACRO","7","Neg;And;Or;Imply","2","0",""
"length/16.trace","length","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"length/32.trace","length","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"length/4.trace","length","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"length/8.trace","length","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"negative/16.trace","negative","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"negative/32.trace","negative","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"negative/4.trace","negative","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"negative/64.trace","negative","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"negative/8.trace","negative","true","SUPPORTED_MACRO","9","Neg;X;F;G;And;Or;Imply","2","0",""
"p/0.trace","p","true","SUPPORTED_MACRO","11","Neg;X;F;G;And;Or;Imply","2","0",""
"p/1.trace","p","true","SUPPORTED_MACRO","11","Neg;X;F;G;And;Or;Imply","2","1","RequiredProposition(x0);NamedRoot"
