task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount
eventually.trace,eventually.trace,atlas-b,1,SAT,,ATLAS_B,,3,2,0,3,,,,,2,MIN_EXPANDED_SIZE,0,2,0.015264054,,,0.038095315,0.249585085,0.018043498,0.01351274,0.7915867029998935,95236,PASSED,2044,742,1668,,4,67,,,,,1,,1
eventually.trace,eventually.trace,macro,1,SAT,,MACRO,,3,2,0,3,1,2,1,1,2,MIN_EXPANDED_SIZE,0,2,0.015849789,0.001674111,0.004782709,0.002379746,0.468873578,0.008984169,0.00801377,0.6777384399999846,82868,PASSED,3836,1818,4183,,3,171,2,1,1.0,1,1,,1
literal.trace,literal.trace,atlas-b,1,SAT,,ATLAS_B,,3,2,0,3,,,,,1,MIN_EXPANDED_SIZE,0,1,0.016085295,,,0.040828954,0.253097076,0.012096429,0.013001517,0.7346250489999875,90260,PASSED,2645,977,2169,,4,72,,,,,1,,1
literal.trace,literal.trace,macro,1,SAT,,MACRO,,3,2,0,3,1,24,1,1,1,MIN_EXPANDED_SIZE,0,1,0.017311987,0.001759408,0.006966843,0.003410196,0.787787497,0.016854942,0.007624825,1.07259173500006,126364,PASSED,9906,4386,9309,,3,440,23,1,0.0,0,1,,1
next.trace,next.trace,atlas-b,1,SAT,,ATLAS_B,,3,2,0,3,,,,,2,MIN_EXPANDED_SIZE,0,2,0.015194941,,,0.039969039,0.251280168,0.016750873,0.012849722,0.7361060150001322,88620,PASSED,2098,1160,2995,,4,85,,,,,1,,1
next.trace,next.trace,macro,1,SAT,,MACRO,,3,2,0,3,1,4,1,1,2,MIN_EXPANDED_SIZE,0,2,0.015367303,0.001737345,0.004892994,0.00208039,0.526839333,0.00937204,0.007548859,0.7935635750000074,93120,PASSED,5925,2716,5959,,3,234,4,1,1.0,1,1,,1
nnf.trace,nnf.trace,atlas-b,1,SAT,,ATLAS_B,,3,2,0,3,,,,,2,MIN_EXPANDED_SIZE,0,2,0.019933168,,,0.027960288,0.278061528,0.013928379,0.014217025,0.7930447090000143,94584,PASSED,2681,984,2185,,4,72,,,,,1,,1
nnf.trace,nnf.trace,macro,1,SAT,,MACRO,,3,2,0,3,3,87,1,1,2,MIN_EXPANDED_SIZE,0,2,0.022131608,0.002802102,0.011405225,0.004389009,1.242248962,0.010494698,0.00846102,1.5293240759999662,209692,PASSED,16270,13323,36477,,3,1550,23,1,1.0,1,1,,1
repair.trace,repair.trace,atlas-b,1,SAT,,ATLAS_B,,4,2,2,4,,,,,2,REPAIR,1,2,0.030068751,,,0.037526144,0.310577421,0.012550728,0.021548705,0.8032728789999055,99544,PASSED,2737,1902,4499,,5,104,,,,,1,,1
repair.trace,repair.trace,macro,1,SAT,,MACRO,,4,2,2,4,1,34,2,2,2,REPAIR,1,2,0.030040562,0.002052534,0.010282338,0.008155661,0.9594498,0.009267245,0.009359741,1.2395332840001174,167632,PASSED,16475,8924,18836,,4,769,33,1,0.0,0,1,,1
