task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound,solved,repeats
5to10Traces/0183.trace,5to10Traces,atlas-b,1,TIMEOUT,,ATLAS_B,,10,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.030126631,,,,,,,360.0,3276712.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
robot/RRtrace/order2.trace,robot,macro,1,SAT,,MACRO,,2050,2,5,13,4,37,7,7,9,REPAIR,4,9,0.046981033,0.000739529,0.128905579,0.025242606,5.738341842,0.010776387,0.023198256,6.293498623999994,620020.0,PASSED,26357,343472,937671,,13,13718,6,4,0.2857142857142857,2,2,,2,WEIGHTED_MAXSAT,61,37,16,0.90073673,4.837605112,6.093974905,6,6,0.000442451,0,True,1
5to10Traces/0183.trace,5to10Traces,macro,1,SAT,,MACRO,,10,2,0,8,1,62,3,3,5,MIN_EXPANDED_SIZE,0,5,0.035962094,0.00075848,0.096629394,0.013176168,70.524537988,0.005622625,0.022699976,71.141183737,2869408.0,PASSED,155138,2023694,4843136,,8,32453,61,2,0.6666666666666666,1,1,,1,WEIGHTED_MAXSAT,94,46,8,1.42147597,69.103062018,70.872245988,94,94,0.009302399,0,True,1
5to10Traces/0116.trace,5to10Traces,macro,1,TIMEOUT,,MACRO,,67,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.032876488,,,,,,,360.0,2102012.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
moreDetailedTest/0057.trace,moreDetailedTest,macro,1,TIMEOUT,,MACRO,,18,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.036598716,,,,,,,360.0,2418788.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
baseTest/0019.trace,baseTest,macro,1,TIMEOUT,,MACRO,,18,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.031608885,,,,,,,360.0,3792812.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
equal/0004.trace,equal,macro,1,TIMEOUT,,MACRO,,10,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.041806138,,,,,,,360.0,3877708.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
5to10Traces/0043.trace,5to10Traces,macro,1,TIMEOUT,,MACRO,,10,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.037510372,,,,,,,360.0,8951056.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
5to10Traces/0172.trace,5to10Traces,atlas-b,1,TIMEOUT,,ATLAS_B,,6,2,0,6,,,,,,MIN_EXPANDED_SIZE,,,0.037962453,,,,,,,360.0,3144592.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
voting_machine/voting13.trace,voting_machine,macro,1,SAT,,MACRO,,13,2,0,8,4,69,4,4,4,MIN_EXPANDED_SIZE,0,4,0.057715785,0.000843152,0.06388903,0.015269796,4.489734415,0.006294498,0.010045257,4.894352988000037,461644.0,PASSED,60999,201519,529111,,8,8579,10,3,0.0,0,1,,1,WEIGHTED_MAXSAT,69,69,8,0.73189715,3.757837265,4.752395552,19,19,0.011419734,0,True,1
5to10Traces/0088.trace,5to10Traces,macro,1,SAT,,MACRO,,3,2,0,3,1,22,1,1,2,MIN_EXPANDED_SIZE,0,2,0.037776475,0.000476383,0.018667257,0.005206868,0.845544483,0.005217958,0.007757007,1.140705945000036,141140.0,PASSED,16409,10077,19173,,3,489,21,1,1.0,1,1,,1,WEIGHTED_MAXSAT,24,5,2,0.296524458,0.549020025,0.982378453,10,10,0.006561125,2,True,1
5to10Traces/0047.trace,5to10Traces,atlas-b,1,SAT,,ATLAS_B,,18,2,0,8,,,,,6,MIN_EXPANDED_SIZE,0,6,0.035763101,,,0.041168475,53.499324329,0.031406675,0.023251259,54.131524105999915,1273744.0,PASSED,14999,960119,3292805,,11,7460,,,,,1,,1,,,,8,,,53.907498927,,,,,True,1
equal/0025.trace,equal,atlas-b,1,TIMEOUT,,ATLAS_B,,6,2,0,6,,,,,,MIN_EXPANDED_SIZE,,,0.036675446,,,,,,,360.0,2907564.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
5to10Traces/0047.trace,5to10Traces,macro,1,SAT,,MACRO,,18,2,0,8,1,78,3,3,6,MIN_EXPANDED_SIZE,0,6,0.033046184,0.000699069,0.108396458,0.015807382,29.542709309,0.006658888,0.011681202,30.09781281800042,1279484.0,PASSED,114282,737367,1774221,,8,12917,77,3,1.0,2,1,,1,WEIGHTED_MAXSAT,174,46,8,0.94194609,28.600763219,29.847560599,34,34,0.015035872,0,True,1
weakening/weaken_antecedent/weaken_antecedent_10_10_10.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,10,2,0,8,,,,,6,MIN_EXPANDED_SIZE,0,6,0.079434224,,,0.044334825,2.130999996,0.021349011,0.015991098,2.719644610999694,358852.0,PASSED,10204,179547,601675,,11,4483,,,,,1,,1,,,,8,,,2.58233643,,,,,True,1
weakening/weaken_antecedent/weaken_antecedent_30_10_10.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,10,2,0,8,,,,,6,MIN_EXPANDED_SIZE,0,6,0.084661043,,,0.044055778,22.738747918,0.018830623,0.02053738,23.533438530999774,4076632.0,PASSED,22543,3160048,12058775,,11,24883,,,,,1,,1,,,,8,,,23.218768079,,,,,True,1
robot/RRtrace/order7.trace,robot,macro,1,SAT,,MACRO,,2050,2,5,13,4,37,7,7,9,REPAIR,4,9,0.046165544,0.000648037,0.105424018,0.014522267,6.676072264,0.009872614,0.035744576,7.20562554900016,977980.0,PASSED,25568,411508,1127592,,13,16421,6,4,0.2857142857142857,2,2,,2,WEIGHTED_MAXSAT,61,37,16,0.714502931,5.961569333,7.009945269,8,8,0.000403671,0,True,1
moreDetailedTest/0052.trace,moreDetailedTest,macro,1,SAT,,MACRO,,3,2,0,3,1,22,1,1,2,MIN_EXPANDED_SIZE,0,2,0.036966858,0.000861863,0.019335786,0.01234338,6.709199399,0.005040454,0.016723027,7.3673960539999825,898048.0,PASSED,100584,481408,914247,,3,20676,21,1,1.0,1,1,,1,WEIGHTED_MAXSAT,24,5,2,2.204468019,4.50473138,7.194537473,800,496,0.01423404,2,True,1
5to10Traces/0041.trace,5to10Traces,atlas-b,1,TIMEOUT,,ATLAS_B,,10,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.045149617,,,,,,,360.0,4435872.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
5to10Traces/0138.trace,5to10Traces,macro,1,SAT,,MACRO,,3,2,0,3,1,22,1,1,2,MIN_EXPANDED_SIZE,0,2,0.032092874,0.000596815,0.019647473,0.006156874,2.418824665,0.004567982,0.009948455,2.853238505999798,274900.0,PASSED,45187,125116,236934,,3,5421,21,1,1.0,1,1,,1,WEIGHTED_MAXSAT,24,5,2,0.69324945,1.725575215,2.676249446,150,130,0.009058951,2,True,1
moreDetailedTest/0084.trace,moreDetailedTest,macro,1,TIMEOUT,,MACRO,,67,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.031814637,,,,,,,360.0,1770812.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
weakening/weaken_antecedent/weaken_antecedent_10_60_60.trace,weakening,macro,1,SAT,,MACRO,,10,2,0,8,15,109,6,6,6,MIN_EXPANDED_SIZE,0,6,0.094111273,0.002435185,0.047645227,0.01315356,25.591418448,0.010925291,0.027778579,26.429943718999766,1762560.0,PASSED,115206,1084612,2731926,,8,45156,6,6,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.339547157,24.251871291,26.168799933,120,117,0.001301695,0,True,1
baseTest/0021.trace,baseTest,macro,1,SAT,,MACRO,,18,2,0,8,1,58,3,3,6,MIN_EXPANDED_SIZE,0,6,0.032984967,0.000644407,0.047973346,0.006209995,37.12069545,0.006128103,0.010980882,37.532910043000356,869252.0,PASSED,50186,459234,966868,,8,9512,57,3,1.0,1,1,,1,WEIGHTED_MAXSAT,174,36,8,0.635782019,36.484913431,37.322568988,48,48,0.008619289,0,True,1
robot/RAtrace/final47.trace,robot,macro,1,SAT,,MACRO,,2050,2,6,14,2,14,8,8,9,REPAIR,5,9,0.036248694,0.00077529,0.074028588,0.01501646,8.575443932,0.009947474,0.02216956,9.106157325999902,1018192.0,PASSED,28413,556596,1526826,,14,20684,6,3,0.125,1,2,,2,WEIGHTED_MAXSAT,22,14,16,0.796361309,7.779082623,8.903590189,16,13,0.00037631,0,True,1
5to10Traces/0110.trace,5to10Traces,atlas-b,1,SAT,,ATLAS_B,,67,2,0,8,,,,,2,MIN_EXPANDED_SIZE,0,2,0.035808042,,,0.031659692,1.174404244,0.011410093,0.01956376,1.7049760659997446,247924.0,PASSED,4988,81166,267916,,12,1133,,,,,1,,1,,,,8,,,1.54160321,,,,,True,1
peterson/constrained/safety2.trace,peterson,atlas-b,1,SAT,,ATLAS_B,,18,2,0,8,,,,,5,MIN_EXPANDED_SIZE,0,5,0.099521376,,,0.053654917,23.993032677,0.017570437,0.016260922,24.784963290000178,3716524.0,PASSED,38649,2575762,9747198,,23,22257,,,,,1,,1,,,,8,,,24.486637125,,,,,True,1
increasingNumVariables/0055.trace,increasingNumVariables,macro,1,TIMEOUT,,MACRO,,264,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.034153968,,,,,,,360.0,1693472.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
5to10Traces/0147.trace,5to10Traces,macro,1,SAT,,MACRO,,3,2,0,3,1,22,1,1,2,MIN_EXPANDED_SIZE,0,2,0.040002898,0.000654336,0.04926038,0.010307706,4.607383165,0.005154727,0.0188738,5.1577223819999745,580516.0,PASSED,92357,324069,712743,,3,16185,21,1,1.0,1,1,,1,WEIGHTED_MAXSAT,24,5,2,1.066308038,3.541075127,5.007835023,187,187,0.017649803,2,True,1
disjunctedExistence/0003.trace,disjunctedExistence,macro,1,TIMEOUT,,MACRO,,36,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.040728368,,,,,,,360.0,1751188.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
baseTest/0033.trace,baseTest,atlas-b,1,ERROR,,ATLAS_B,,3,2,0,3,,,,,,MIN_EXPANDED_SIZE,,,0.036979085,,,,,,,360.0,1533976.0,FAILED,,,,"ErrorType: Translation capacity exceeded.
In this scope, universe contains 5029 atoms
and relations of arity 3 cannot be represented.
Visit http://alloy.mit.edu/ for advice on refactoring.",,,,,,,,,,,,,,,,23.883329046,,,,,False,1
moreDetailedTest/0090.trace,moreDetailedTest,macro,1,TIMEOUT,,MACRO,,6,2,0,6,,,,,,MIN_EXPANDED_SIZE,,,0.040904139,,,,,,,360.0,3214592.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
robot/RRtrace/order7.trace,robot,atlas-b,1,SAT,,ATLAS_B,,2050,2,5,13,,,,,9,REPAIR,4,9,0.046229078,,,0.065012685,70.639217565,0.017098699,0.018764023,71.53566681700022,6320420.0,PASSED,10670,4036010,15570212,,22,20911,,,,,2,,2,,,,16,,,71.091410033,,,,,True,1
baseTest/0019.trace,baseTest,atlas-b,1,ERROR,,ATLAS_B,,18,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.064513014,,,,,,,360.0,1748400.0,FAILED,,,,"ErrorType: Translation capacity exceeded.
In this scope, universe contains 5051 atoms
and relations of arity 3 cannot be represented.
Visit http://alloy.mit.edu/ for advice on refactoring.",,,,,,,,,,,,,,,,29.576405872,,,,,False,1
peterson/base/safety1.trace,peterson,macro,1,SAT,,MACRO,,18,2,0,8,5,67,4,4,5,MIN_EXPANDED_SIZE,0,5,0.097019047,0.002201238,0.072059691,0.016949665,5.313588872,0.010305841,0.010528626,5.820612312999856,617072.0,PASSED,55394,274770,922914,,8,10840,10,4,0.25,1,1,,1,WEIGHTED_MAXSAT,67,67,8,0.737892093,4.575696779,5.635549474,12,12,0.000297398,0,True,1
moreDetailedTest/0027.trace,moreDetailedTest,macro,1,SAT,,MACRO,,5,2,0,5,1,24,1,1,3,MIN_EXPANDED_SIZE,0,3,0.035867571,0.000565555,0.023139767,0.008795341,1.697241939,0.004543639,0.022648604,2.0147119939997538,231340.0,PASSED,22748,53941,110471,,5,1677,23,1,2.0,2,1,,1,WEIGHTED_MAXSAT,44,22,5,0.40184671,1.295395229,1.873825735,10,10,0.008325689,0,True,1
5to10Traces/0062.trace,5to10Traces,macro,1,TIMEOUT,,MACRO,,18,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.039064955,,,,,,,360.0,4053176.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
5to10Traces/0165.trace,5to10Traces,atlas-b,1,TIMEOUT,,ATLAS_B,,6,2,0,6,,,,,,MIN_EXPANDED_SIZE,,,0.040398266,,,,,,,360.0,5365528.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
weakening/weaken_antecedent/weaken_antecedent_10_30_30.trace,weakening,macro,1,SAT,,MACRO,,10,2,0,8,15,109,6,6,6,MIN_EXPANDED_SIZE,0,6,0.088540339,0.002017153,0.026877791,0.008038479,17.503549589,0.009831587,0.014431766,18.051074465000056,1245688.0,PASSED,99438,579630,1510304,,8,24696,6,6,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.10146134,16.402088249,17.796777704,60,55,0.001235382,0,True,1
moreDetailedTest/0079.trace,moreDetailedTest,macro,1,TIMEOUT,,MACRO,,67,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.03873386,,,,,,,360.0,4885988.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
5to10Traces/0096.trace,5to10Traces,macro,1,SAT,,MACRO,,3,2,0,3,1,22,1,1,2,MIN_EXPANDED_SIZE,0,2,0.03950318,0.000647377,0.029067185,0.006979424,3.00676418,0.004035606,0.013503466,3.609374875999947,374340.0,PASSED,49506,157427,297295,,3,6762,21,1,1.0,1,1,,1,WEIGHTED_MAXSAT,24,5,2,0.819677723,2.187086457,3.382244312,200,165,0.008105793,2,True,1
baseTest/0028.trace,baseTest,atlas-b,1,SAT,,ATLAS_B,,6,2,0,6,,,,,5,MIN_EXPANDED_SIZE,0,5,0.035737752,,,0.031614302,5.038613077,0.019066642,0.016298659,5.571453873999872,285136.0,PASSED,7343,108958,351891,,9,1692,,,,,1,,1,,,,6,,,5.436181951,,,,,True,1
5to10Traces/0107.trace,5to10Traces,atlas-b,1,SAT,,ATLAS_B,,3,2,0,3,,,,,2,MIN_EXPANDED_SIZE,0,2,0.04022682,,,0.054745832,19.912102186,0.085065791,0.0144356,20.72822625500021,3129964.0,PASSED,66984,2205490,7572675,,5,35031,,,,,1,,1,,,,3,,,20.418031734,,,,,True,1
5to10Traces/0161.trace,5to10Traces,atlas-b,1,TIMEOUT,,ATLAS_B,,6,2,0,6,,,,,,MIN_EXPANDED_SIZE,,,0.03757717,,,,,,,360.0,3852124.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
baseTest/0007.trace,baseTest,macro,1,SAT,,MACRO,,10,2,0,8,1,42,4,5,6,MIN_EXPANDED_SIZE,0,6,0.042654466,0.000487183,0.041803913,0.008645456,10.608194949,0.006784206,0.026129654,11.508753573000831,339748.0,PASSED,36158,167524,360626,,8,4298,41,3,0.4,1,1,,1,WEIGHTED_MAXSAT,94,36,8,0.551072503,10.057122446,11.321673136,16,16,0.009972633,0,True,1
equal/0004.trace,equal,atlas-b,1,TIMEOUT,,ATLAS_B,,10,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.041565317,,,,,,,360.0,3865400.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
robot/RRtrace/order2.trace,robot,atlas-b,1,SAT,,ATLAS_B,,2050,2,5,13,,,,,9,REPAIR,4,9,0.052105049,,,0.046259191,73.529651122,0.01670982,0.017571553,74.3256637530003,6184660.0,PASSED,9072,3918950,15170460,,22,18495,,,,,2,,2,,,,16,,,73.939880668,,,,,True,1
baseTest/0028.trace,baseTest,macro,1,SAT,,MACRO,,6,2,0,6,1,34,5,5,5,MIN_EXPANDED_SIZE,0,5,0.03338643,0.000589856,0.028979791,0.005428136,5.089593735,0.006604098,0.009888716,5.421993201999612,444800.0,PASSED,31865,157149,327908,,6,3741,33,1,0.0,0,1,,1,WEIGHTED_MAXSAT,54,32,6,0.544731031,4.544862704,5.260903061,21,21,0.009692311,0,True,1
equal/0022.trace,equal,macro,1,TIMEOUT,,MACRO,,6,2,0,6,,,,,,MIN_EXPANDED_SIZE,,,0.04190878,,,,,,,360.0,2055004.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
increasingNumVariables/0014.trace,increasingNumVariables,atlas-b,1,TIMEOUT,,ATLAS_B,,11,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.039139175,,,,,,,360.0,1024500.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
5to10Traces/0042.trace,5to10Traces,atlas-b,1,TIMEOUT,,ATLAS_B,,10,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.039615699,,,,,,,360.0,4303708.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
moreDetailedTest/0120.trace,moreDetailedTest,macro,1,TIMEOUT,,MACRO,,10,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.038887602,,,,,,,360.0,4933044.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
moreDetailedTest/0084.trace,moreDetailedTest,atlas-b,1,TIMEOUT,,ATLAS_B,,67,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.035336779,,,,,,,360.0,1522548.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
peterson/constrained/liveness4.trace,peterson,macro,1,SAT,,MACRO,,18,2,0,8,10,171,4,4,5,MIN_EXPANDED_SIZE,0,5,0.110531523,0.001732106,0.123699064,0.020004902,10.735809757,0.010377056,0.011690782,11.2997273710007,848832.0,PASSED,85588,361694,1218384,,8,16197,10,4,0.25,1,1,,1,WEIGHTED_MAXSAT,171,171,8,1.047942111,9.687867646,11.11864854,12,12,0.00037313,0,True,1
moreDetailedTest/0097.trace,moreDetailedTest,atlas-b,1,SAT,,ATLAS_B,,6,2,0,6,,,,,5,MIN_EXPANDED_SIZE,0,5,0.035125326,,,0.028006866,2.668332174,0.023774723,0.019076728,3.1910954710001533,194428.0,PASSED,4808,54464,175648,,9,922,,,,,1,,1,,,,6,,,3.040918363,,,,,True,1
5to10Traces/0176.trace,5to10Traces,atlas-b,1,SAT,,ATLAS_B,,10,2,0,8,,,,,3,MIN_EXPANDED_SIZE,0,3,0.034723255,,,0.045359388,1.268234717,0.014904557,0.014577728,1.7852569719998428,259128.0,PASSED,4809,82237,269611,,11,1120,,,,,1,,1,,,,8,,,1.653409792,,,,,True,1
5to10Traces/0043.trace,5to10Traces,atlas-b,1,TIMEOUT,,ATLAS_B,,10,2,0,8,,,,,,MIN_EXPANDED_SIZE,,,0.040983621,,,,,,,360.0,4435152.0,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,False,1
5to10Traces/0192.trace,5to10Traces,atlas-b,1,SAT,,ATLAS_B,,10,2,0,8,,,,,5,MIN_EXPANDED_SIZE,0,5,0.039529698,,,0.075702052,36.276344862,0.045057881,0.020353345,37.149569672000325,3825632.0,PASSED,95075,2963555,9729644,,11,32320,,,,,1,,1,,,,8,,,36.77826852,,,,,True,1
