task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound
weakening/weaken_consequent/weaken_consequent_40_10_10.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.084789405,,,0.037818087,94.896027491,0.016557611,0.016283265,95.71458356600124,9092108,PASSED,28781,8407543,32613416,,11,41078,,,,,1,,1,,,,8,,,95.323738304,,,,
weakening/weaken_consequent/weaken_consequent_15_10_10.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.076972987,,,0.047766856,3.31640707,0.021338147,0.014789515,3.9329081989999395,728164,PASSED,13381,423943,1515116,,11,8078,,,,,1,,1,,,,8,,,3.777271201,,,,
weakening/weaken_consequent/weaken_consequent_40_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.088484088,0.002488645,0.105992635,0.007115226,17.648689561,0.009075107,0.018924963,18.22464648299865,1722976,PASSED,97339,718670,1951139,,11,33243,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.002298862,16.646390699,18.030649803,20,20,0.000966465,0
weakening/weaken_consequent/weaken_consequent_15_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.078442686,0.002444624,0.038776011,0.007552757,13.397464379,0.010265628,0.0122622,13.80560063500161,873968,PASSED,90173,371170,1023639,,11,16743,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,0.923136408,12.474327971,13.639816,20,20,0.00117356,0
weakening/weaken_consequent/weaken_consequent_10_75_75.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.089864574,,,0.047956331,10.539153897,0.031650656,0.023568394,11.234434382000472,1801404,PASSED,57862,1240853,4241966,,11,31778,,,,,1,,1,,,,8,,,11.017213836,,,,
weakening/weaken_consequent/weaken_consequent_10_75_75.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.08857865,0.002938307,0.034078578,0.009704163,30.970642131,0.010616447,0.035499546,31.619816922997416,2399308,PASSED,120852,1360968,3401133,,11,56343,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.531930767,29.438711364,31.3674442,150,150,0.001081498,0
weakening/weaken_consequent/weaken_consequent_10_40_40.trace,weakening,atlas-b,1,SAT,,ATLAS_B,,18,3,0,11,,,,,7,MIN_EXPANDED_SIZE,0,7,0.07897806,,,0.046975856,5.197689189,0.020099634,0.016468539,5.861617135997221,935396,PASSED,32242,666363,2273916,,11,17078,,,,,1,,1,,,,8,,,5.660304865,,,,
weakening/weaken_consequent/weaken_consequent_55_10_10.trace,weakening,atlas-b,1,TIMEOUT,,ATLAS_B,,18,3,0,11,,,,,,MIN_EXPANDED_SIZE,,,0.086669651,,,,,,,180.3373252320016,4445984,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,
weakening/weaken_consequent/weaken_consequent_55_10_10.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.086009031,0.003097992,0.140080295,0.011978128,21.294328538,0.019437075,0.026328749,21.96443696999995,1719988,PASSED,101818,927162,2507631,,11,43143,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.043139454,20.251189084,21.743215092,20,20,0.001722776,0
weakening/weaken_consequent/weaken_consequent_10_40_40.trace,weakening,macro,1,SAT,,MACRO,,18,3,0,11,15,109,7,8,7,MIN_EXPANDED_SIZE,0,7,0.094822494,0.003462761,0.026650037,0.008212608,18.379875658,0.010266032,0.02903395,18.961264286997903,1738308,PASSED,103456,790394,2020727,,11,33243,6,7,0.0,0,1,,1,WEIGHTED_MAXSAT,169,109,8,1.145137229,17.234738429,18.691687258,80,80,0.001046648,0
