batch,task,family,inputSha256,B,b,p,K,C_K,numAP,positiveTraces,negativeTraces,minTraceLength,maxTraceLength,meanTraceLength,constraintFeatures,objectiveKind,isRepair,qStates,fiberCatalogSize,unquotientedFiberCount,encodedFiberCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,activeAnchors,activeMacroEdges,atlasPrimaryVars,macroPrimaryVars,atlasVars,macroVars,C_V,atlasTotalClauses,macroTotalClauses,C_C,atlasHardClauses,atlasSoftClauses,macroHardClauses,macroSoftClauses,atlasModelBytes,macroModelBytes,C_ModelBytes,atlasModelCount,macroModelCount,atlasMetricStatus,macroMetricStatus,atlasMetricSource,macroMetricSource,atlasRq2Attempts,macroRq2Attempts,atlasE4Status,macroE4Status,atlasE4WallSec,macroE4WallSec,atlasModelSha256,macroModelSha256
b2,5to10Traces/0000.trace,5to10Traces,77fb428a069a6f5b21aeed975b428548a2642a5226f0e4c2e2ac284777a8614b,5,2,0,5,1.0,2,5,5,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,28,44,26,1,2.0,2,1,1,747,1602,38395,49172,0.7808305539738062,121118,100564,1.2043872558768545,,,,,4354,36638,0.1188383645395491,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,1.3727129569997487,2.01962475099981,36b3a991721435ede8921641af50e19b54d75775ede883f2ae9ba026e63bd70d,3cd4f8c6937ef12d68f4a365f4e4ed93699046adfa72c3e23dfa8bdca3cceea8
b2,5to10Traces/0002.trace,5to10Traces,eb40501cc06da1eccd73b8b511a5d40674abeffa8794fa8e717e0fabc662a9eb,5,2,0,5,1.0,2,25,25,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,32,44,28,1,2.0,2,1,1,3147,5208,182794,236718,0.772201522486672,579857,474168,1.2228935735857334,,,,,11784,57743,0.20407668461978076,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,2.681924471000457,4.9471814619998895,a21f2d4aab87f78b97abf7541249bef1a4d9c013175bf54fdc0ef49a7fc4e175,f8167b1c80e190e265b9e4085d4b0074c356a39f2ea9818b65e1872828b72428
b2,5to10Traces/0003.trace,5to10Traces,6f39abe0295506c074ecc2d2ca624dbabd9e790cd4e32e2376c334e22c74ed0b,5,2,0,5,1.0,2,1,25,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,34,44,28,1,2.0,2,1,1,4567,6111,388266,263090,1.475791554220989,1325516,615606,2.1531888902967156,,,,,9734,66247,0.14693495554515676,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,4.130317978000676,4.533624872000473,b3aedbd97722d584066a8d5b3bff9198faa99453d1138e0d08b5858a438da61f,f14460d53b11b31e706715a21aa7414c361eec1c29cc2672edd568490caf9e59
b2,5to10Traces/0004.trace,5to10Traces,05629bb4f6035f93350157aa5f7d9a45ae7afd501c1d9cfe01c1c67a1b471a14,5,2,0,5,1.0,2,50,50,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,32,44,28,1,2.0,2,1,1,6147,9030,363281,437799,0.8297894695967785,1153269,878086,1.313389576875158,,,,,21064,70255,0.29982207672051814,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,4.515630896000403,8.081105343000218,6f386fce860d85d94ed5bf2cd48a47184e994ca5427e974ae97a25cbc7763b04,23f11b2bf1d4efb8cca830af3a2beec7c72ade70f15f9033cc803a0ad248669d
b2,5to10Traces/0005.trace,5to10Traces,660a589b506704d37a8541151f8c604018739a7d81f670e47eb3eaa1c1d4d439,5,2,0,5,1.0,2,2,50,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,34,44,28,1,2.0,2,1,1,8987,11319,774237,525155,1.4743018727804171,2644600,1221659,2.164761197682823,,,,,16909,92804,0.18220119822421446,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,6.6359818910000286,10.412136991000125,4893443fad245e9a97ab76368d14c06dfa045077b477bb8932c82b009a6ddff7,2545f2caecd11acd7ab7ad6370924137b725f669fe41502b5c310fea24b9731d
b2,5to10Traces/0006.trace,5to10Traces,7d3075244c5bbbe213fc317b55abec9af8071310f9d4db6cd3ae780bfd8366dd,5,2,0,5,1.0,2,75,75,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,32,44,28,1,2.0,2,1,1,9147,12768,543780,631974,0.8604467905325219,1726695,1258272,1.3722748340581368,,,,,30364,76290,0.3980076025691441,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,5.670750630000839,10.76428891500018,ad7cf3cc442e901d3e11321ee3b8f074889103d2ad0dc41884fbc5e68a4f4ad8,651a3907e315cba92094c20d0baf9131b0b245053c8d8e68318e6bcb4e7acad0
b2,5to10Traces/0007.trace,5to10Traces,18f49d7822132d05f1d4bb6e2811d77950778ba815b21d52c8366d09efeb63b2,5,2,0,5,1.0,2,7,75,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,34,44,28,1,2.0,2,1,1,14087,17493,1219587,824467,1.4792429533262095,4166615,1939151,2.148680015120019,,,,,25184,110806,0.22728011118531488,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,10.914950995999789,10.661449472000186,b2906b8a4ae24d6876a961905ff0d9904619e751194e516b610f413fd22a72c2,b96514fdb86ebc1dc06f99a0ae9ac595810c2c41fba6a7dee6ffc97076660572
b2,5to10Traces/0008.trace,5to10Traces,41fc8b607a7d2187795688c08a2796236044c4aecfef14332076b60f8e493d1b,5,2,0,5,1.0,2,100,100,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,32,44,28,1,2.0,2,1,1,12147,16842,724282,856000,0.8461238317757009,2300122,1727932,1.3311415032536003,,,,,39674,82590,0.48037292650441943,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,7.987452383000345,17.782749059999333,730daa098ce658f7c44de45e18c6bfd2fc4b5769d45437401057615132907178,fbfef85784c942099bbf9610b45a6b40125ada9319728026be58a1d6f498ab46
b2,5to10Traces/0009.trace,5to10Traces,1fa2c89971eb9bf85ddb1903d4936d8b6807ddd6862da4db6a33713d919f22f9,5,2,0,5,1.0,2,5,100,10,10,10.0,,MIN_EXPANDED_SIZE,False,1,34,44,28,1,2.0,2,1,1,17997,22071,1561022,1039313,1.50197486224073,5333499,2415842,2.2077184683435425,,,,,31534,120168,0.2624159510019306,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,12.560354598999993,16.636009619000106,6180a123fa925b6ce2abe35ba8968f8caafd72c835fd996141a96bedd1e2bf57,9a2de47f6c49b23847aad7de0f7611a3bace5bbb8c86c17ab36e176369cf4508
b2,5to10Traces/0010.trace,5to10Traces,2c8d5f6b675827a4d0fc5a57c97b8c99adfd9886e1aee9ccba5b50f656dad98c,5,2,0,5,1.0,2,125,125,5,5,5.0,,MIN_EXPANDED_SIZE,False,1,32,44,28,1,2.0,2,1,1,15147,20391,904772,1028512,0.8796902709934352,2873537,2061660,1.3937977164032866,,,,,49014,84765,0.5782339408954167,1,1,REUSED_E4,REUSED_E4,E4_REUSED,E4_REUSED,0,0,SAT,SAT,10.823322652999991,18.472751777999974,e81c5cc7a71fae86d57a7e6b32838625c1ff9a9d7f14da087543d0dd4a35d721,5f4d8f7d737b811e4a83221a9d503d9c7414d9fb80e13b47b6852095b0b7abac
