batch,task,family,method,inputSha256,sourceCommit,B,b,p,K,numAP,positiveTraces,negativeTraces,minTraceLength,maxTraceLength,meanTraceLength,constraintFeatures,objectiveKind,e4Status,e4WallSec,e4Verification,metricStatus,metricSource,rq2Attempts,primaryVars,vars,backendTotalClauses,hardClauses,softClauses,modelBytes,modelCount,modelSha256,qStates,fiberCatalogSize,unquotientedFiberCount,encodedFiberCount,costScope,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,activeAnchors,activeMacroEdges,error,translationWallSec
b2,5to10Traces/0000.trace,5to10Traces,atlas-b,77fb428a069a6f5b21aeed975b428548a2642a5226f0e4c2e2ac284777a8614b,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,5,5,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,1.3727129569997487,PASSED,REUSED_E4,E4_REUSED,0,747,38395,121118,,,4354,1,36b3a991721435ede8921641af50e19b54d75775ede883f2ae9ba026e63bd70d,,,,,5,,,,,,,0
b2,5to10Traces/0000.trace,5to10Traces,macro,77fb428a069a6f5b21aeed975b428548a2642a5226f0e4c2e2ac284777a8614b,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,5,5,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,2.01962475099981,PASSED,REUSED_E4,E4_REUSED,0,1602,49172,100564,,,36638,1,3cd4f8c6937ef12d68f4a365f4e4ed93699046adfa72c3e23dfa8bdca3cceea8,1,28,44,26,5,1,2.0,2,1,1,,0
b2,5to10Traces/0002.trace,5to10Traces,atlas-b,eb40501cc06da1eccd73b8b511a5d40674abeffa8794fa8e717e0fabc662a9eb,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,25,25,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,2.681924471000457,PASSED,REUSED_E4,E4_REUSED,0,3147,182794,579857,,,11784,1,a21f2d4aab87f78b97abf7541249bef1a4d9c013175bf54fdc0ef49a7fc4e175,,,,,5,,,,,,,0
b2,5to10Traces/0002.trace,5to10Traces,macro,eb40501cc06da1eccd73b8b511a5d40674abeffa8794fa8e717e0fabc662a9eb,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,25,25,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,4.9471814619998895,PASSED,REUSED_E4,E4_REUSED,0,5208,236718,474168,,,57743,1,f8167b1c80e190e265b9e4085d4b0074c356a39f2ea9818b65e1872828b72428,1,32,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0003.trace,5to10Traces,atlas-b,6f39abe0295506c074ecc2d2ca624dbabd9e790cd4e32e2376c334e22c74ed0b,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,1,25,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,4.130317978000676,PASSED,REUSED_E4,E4_REUSED,0,4567,388266,1325516,,,9734,1,b3aedbd97722d584066a8d5b3bff9198faa99453d1138e0d08b5858a438da61f,,,,,5,,,,,,,0
b2,5to10Traces/0003.trace,5to10Traces,macro,6f39abe0295506c074ecc2d2ca624dbabd9e790cd4e32e2376c334e22c74ed0b,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,1,25,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,4.533624872000473,PASSED,REUSED_E4,E4_REUSED,0,6111,263090,615606,,,66247,1,f14460d53b11b31e706715a21aa7414c361eec1c29cc2672edd568490caf9e59,1,34,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0004.trace,5to10Traces,atlas-b,05629bb4f6035f93350157aa5f7d9a45ae7afd501c1d9cfe01c1c67a1b471a14,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,50,50,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,4.515630896000403,PASSED,REUSED_E4,E4_REUSED,0,6147,363281,1153269,,,21064,1,6f386fce860d85d94ed5bf2cd48a47184e994ca5427e974ae97a25cbc7763b04,,,,,5,,,,,,,0
b2,5to10Traces/0004.trace,5to10Traces,macro,05629bb4f6035f93350157aa5f7d9a45ae7afd501c1d9cfe01c1c67a1b471a14,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,50,50,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,8.081105343000218,PASSED,REUSED_E4,E4_REUSED,0,9030,437799,878086,,,70255,1,23f11b2bf1d4efb8cca830af3a2beec7c72ade70f15f9033cc803a0ad248669d,1,32,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0005.trace,5to10Traces,atlas-b,660a589b506704d37a8541151f8c604018739a7d81f670e47eb3eaa1c1d4d439,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,2,50,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,6.6359818910000286,PASSED,REUSED_E4,E4_REUSED,0,8987,774237,2644600,,,16909,1,4893443fad245e9a97ab76368d14c06dfa045077b477bb8932c82b009a6ddff7,,,,,5,,,,,,,0
b2,5to10Traces/0005.trace,5to10Traces,macro,660a589b506704d37a8541151f8c604018739a7d81f670e47eb3eaa1c1d4d439,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,2,50,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,10.412136991000125,PASSED,REUSED_E4,E4_REUSED,0,11319,525155,1221659,,,92804,1,2545f2caecd11acd7ab7ad6370924137b725f669fe41502b5c310fea24b9731d,1,34,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0006.trace,5to10Traces,atlas-b,7d3075244c5bbbe213fc317b55abec9af8071310f9d4db6cd3ae780bfd8366dd,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,75,75,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,5.670750630000839,PASSED,REUSED_E4,E4_REUSED,0,9147,543780,1726695,,,30364,1,ad7cf3cc442e901d3e11321ee3b8f074889103d2ad0dc41884fbc5e68a4f4ad8,,,,,5,,,,,,,0
b2,5to10Traces/0006.trace,5to10Traces,macro,7d3075244c5bbbe213fc317b55abec9af8071310f9d4db6cd3ae780bfd8366dd,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,75,75,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,10.76428891500018,PASSED,REUSED_E4,E4_REUSED,0,12768,631974,1258272,,,76290,1,651a3907e315cba92094c20d0baf9131b0b245053c8d8e68318e6bcb4e7acad0,1,32,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0007.trace,5to10Traces,atlas-b,18f49d7822132d05f1d4bb6e2811d77950778ba815b21d52c8366d09efeb63b2,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,7,75,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,10.914950995999789,PASSED,REUSED_E4,E4_REUSED,0,14087,1219587,4166615,,,25184,1,b2906b8a4ae24d6876a961905ff0d9904619e751194e516b610f413fd22a72c2,,,,,5,,,,,,,0
b2,5to10Traces/0007.trace,5to10Traces,macro,18f49d7822132d05f1d4bb6e2811d77950778ba815b21d52c8366d09efeb63b2,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,7,75,10,10,10.0,,MIN_EXPANDED_SIZE,SAT,10.661449472000186,PASSED,REUSED_E4,E4_REUSED,0,17493,824467,1939151,,,110806,1,b96514fdb86ebc1dc06f99a0ae9ac595810c2c41fba6a7dee6ffc97076660572,1,34,44,28,5,1,2.0,2,1,1,,0
b2,5to10Traces/0008.trace,5to10Traces,atlas-b,41fc8b607a7d2187795688c08a2796236044c4aecfef14332076b60f8e493d1b,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,100,100,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,7.987452383000345,PASSED,REUSED_E4,E4_REUSED,0,12147,724282,2300122,,,39674,1,730daa098ce658f7c44de45e18c6bfd2fc4b5769d45437401057615132907178,,,,,5,,,,,,,0
b2,5to10Traces/0008.trace,5to10Traces,macro,41fc8b607a7d2187795688c08a2796236044c4aecfef14332076b60f8e493d1b,0ef52dddff9ea1c4f1d65b34f23e7b528a2f8e9e,5,2,0,5,2,100,100,5,5,5.0,,MIN_EXPANDED_SIZE,SAT,17.782749059999333,PASSED,REUSED_E4,E4_REUSED,0,16842,856000,1727932,,,82590,1,fbfef85784c942099bbf9610b45a6b40125ada9319728026be58a1d6f498ab46,1,32,44,28,5,1,2.0,2,1,1,,0
