batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,e4AtlasStatus,e4MacroStatus,activeAnchors,e4MacroExpandedSize,B_over_K,activeAnchors_over_expandedSize,atlasStatus,macroStatus,pairedTranslated,atlasVars,macroVars,atlasClauses,macroClauses,C_V,C_C,atlasWallSec,macroWallSec,atlasModelSha256,macroModelSha256
b2,5to10Traces/0128.trace,5to10Traces,plain,67,2,0,8,1,MIN_EXPANDED_SIZE,,5,b5d6342146db3553a3dcf5758ec58215536115c1632db0303a0b7e62d038592a,4,163,225,TIMEOUT,TIMEOUT,,,8.375,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1643639,2130066,5304470,4337789,0.771637592450187,1.2228510884231576,9.101402872999643,15.101374575000591,a2ed53e98618246c8270e07a4e92a4cb8ba2ae57211a238238d8efb2894f180c,0039e2fbadaf7f8f0cd060ff9044f4abc595996cfac79bf833aa5224c54c61ac
b2,baseTest/0007.trace,baseTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,7,1afe526db22540339194bce20eb8c5a402e11a7dfd0852830fd6e17afd7e22cf,3,10,6,SAT,SAT,4,6,1.25,0.6666666666666666,TRANSLATED_ONLY,TRANSLATED_ONLY,True,104271,143073,339480,303324,0.7287957895619719,1.1191992720655142,1.4324687229991468,2.63268085800064,91dc3a8a5805549d66783eddf779c8a0c37122afa3578296e16d292704a07fef,8046cd4ff0c6a649c1840c4d51826c177412eee78d7f1904adc402836e460012
b2,disjunctedExistence/0036.trace,disjunctedExistence,plain,11,2,0,8,1,MIN_EXPANDED_SIZE,,5,42bd2fd48168a346de5a4a580a801bd6fa28548f4a7dfc831b33916167f8b112,4,250,1,SAT,SAT,3,4,1.375,0.75,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1064950,1387168,3436661,2826147,0.7677152298784286,1.2160234411019668,8.046235314999649,11.44682083600037,927c5513897af1f9b6f0bb4840f8037cf509417d7ce7544fd1e45b6f2d471ecb,2c16a30861ddd788075772bfe8f49262859a37706a8a3d353c0cf39ed91226fa
b2,equal/0039.trace,equal,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,0d5ade36218701a3ad9bb7a45cdc9fd97f1e71a2ac121ffdaec5ac6268e17437,3,200,200,SAT,SAT,3,5,1.25,0.6,TRANSLATED_ONLY,TRANSLATED_ONLY,True,3524531,3613552,11641935,7640888,0.9753646827276873,1.5236363888595148,19.86573704300008,27.320346397999856,7aa3758190cefc30de008c5c96e35ae364fc10879ca8a4052cab7e92e0d8e4da,e29cc32aabd029d222de5aa6d8fa94416e851b25fd3f946c1250c82b4bd121a3
b2,increasingNumVariables/0006.trace,increasingNumVariables,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,a032eec421c1e7a369a80d20704c289cca03b525420d89c4af8c374bd834215f,3,45,45,SAT,SAT,3,5,1.25,0.6,TRANSLATED_ONLY,TRANSLATED_ONLY,True,355536,497327,1138395,1020146,0.7148938223744136,1.1159138005736433,2.785595340999862,5.537054209999951,c87738aec5e7c336fe71420a389333f98400c38e79fcda1c18075fdbccd00f4e,08b399f863343ecfcf9c7ad918fadd81e89eb96cd04d421a89448c2a9bb2c6aa
b2,disjunctedExistence/0057.trace,disjunctedExistence,plain,134,2,0,8,1,MIN_EXPANDED_SIZE,,11,6e6462f56f7be1474c46e342cd9b52c0e2b197772fd4f9243e9ad16e47672048,7,200,200,TIMEOUT,TIMEOUT,,,16.75,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,5879267,3840257,19858693,8165965,1.5309566521198972,2.431885637521101,30.131810077999944,24.622057741999924,29879b44b4c73a8ef92bb10ad9ffa4be5ca7aa35b7e46d529cb2579d9930ba3b,f30396ecf4941edc1665258b09bcedc52aa4157791bec886c82f393e3c071454
b2,moreDetailedTest/0113.trace,moreDetailedTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,6f6da48902bae6b3a98db814ddd95c545a8a3739feb97c0e73014d970977752b,3,100,100,SAT,SAT,3,5,1.25,0.6,TRANSLATED_ONLY,TRANSLATED_ONLY,True,786405,1080913,2518950,2208111,0.7275377389299601,1.1407714557827935,5.44042708500001,9.843503146999865,e1b8c0c36efcbbda425ce652efd087843f2dece7d316932374fecce275bb6990,ad161e97c14f9502276325f92153fd29df047ab34cee37c138b7cd6e480cb722
b2,equal/0021.trace,equal,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,15,b1e3c019e26ccc9ae26b50e4aa559c39fb6fdca6d7807a00026c13cd4d3c4c3b,3,5,5,SAT,SAT,3,5,2.25,0.6,TRANSLATED_ONLY,TRANSLATED_ONLY,True,234621,122848,799237,272995,1.9098479421724408,2.927661678785326,1.7307870320000802,2.582494102000055,dc0e3007fd487cef6c9d349b29a111e1e398486e27ef3e498354fbd646c3f8c6,ad1c09d3a65658f4e6bf7041becc4b34627131a4ea5015926e62401bca5bba05
b2,5to10Traces/0034.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,5359af3606015c7bc80e09ecb994c0944124012d2a334ddb061df8ee7e0ee7e9,3,150,150,TIMEOUT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1178106,1637224,3774000,3334109,0.7195753299487425,1.1319365983535632,7.839998834999278,11.046614390999821,25d5f080b6de96e5b2ad14b83a7c39b0e1e159b386d19cb2f1f20c8da31c1a62,4c2bf0e35a91a4d179317f4df5204231c0fd3e1e9fa195d0bbfa6c8018eb8844
b2,baseTest/0042.trace,baseTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,7,2244b83a855d75871bb864ca4fbfbc316c76e290d7554bd7a76747980d449e08,3,4,46,TIMEOUT,SAT,3,5,1.25,0.6,TRANSLATED_ONLY,TRANSLATED_ONLY,True,312045,410415,1016936,859710,0.7603157779320932,1.1828825999464936,2.181453632000739,4.585223277000296,ba27ae7a9bb711694abef27e5870ea4033ebb3c292917ae93a69d680955e9225,460e34dc592fd51066b971d4759a28d189112e6578eabc44901f209477ec7cd1
b2,increasingNumVariables/0052.trace,increasingNumVariables,plain,264,2,0,8,1,MIN_EXPANDED_SIZE,,5,2a19bc3133fc529e868e3edd14b0b7f45a305e34c253078a07b7b224493dbf1b,9,35,35,TIMEOUT,TIMEOUT,,,33.0,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,417435,403665,1383112,830648,1.0341124447252052,1.6651000182989666,3.032883349000258,4.687111373000334,9c0f60e8c964ca4fa12fe256eef46f9246030f9d8ea0c1cdf40e08fbf3b88b23,22f0a39ba3f3f753cf53cc98233941eff8ab96fbb78d85017ab9f28ffba4f225
b2,moreDetailedTest/0077.trace,moreDetailedTest,plain,67,2,0,8,1,MIN_EXPANDED_SIZE,,9,b00e1c488a1ff227de8228fb648596ebfe829fd0352e1b171b29410e87917875,4,155,250,TIMEOUT,TIMEOUT,,,8.375,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,3792246,3788154,12581813,8041966,1.0010802095162974,1.5645195465884834,19.204957119999563,28.770212712000102,8b0f3434babeca0db07cb389768bef53039a57a0b26eade7308102be49c93b73,7064efee45f83603c6cd45a60911ce31bfd68e8e95c5356de4e2e1af35e08062
b2,5to10Traces/0158.trace,5to10Traces,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,5366c4744106435515ba36ff3a0abe3eab73b21822dacf475bab1e42886251a5,3,50,50,TIMEOUT,UNSAT,,,1.0,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,394706,539073,1263900,1091346,0.7321939700189029,1.1581111764738223,2.882753753000543,5.436492584000007,47080f5a648f64eb9b7265ac73d64ea331e989bac7136a09f25c8e41e6f4dfe8,bde26414cc6f698fb8ec80e72ea699e844c81aad2b002483fe284273b46f58cc
b2,disjunctedExistence/0015.trace,disjunctedExistence,plain,36,2,0,8,1,MIN_EXPANDED_SIZE,,11,1bfdce4b3f7d8319b507423f0276b9623575e0c9bd3e72db79a089df5b0b4f6b,5,300,50,TIMEOUT,TIMEOUT,,,4.5,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,4667777,3343841,15678371,7134841,1.3959327013455485,2.197438036811192,25.314571387000797,25.864173257999937,36a9d033ca597c70ab234444c54af278b092f9be75af349ce289fc10c3d07c09,115ebd935ffe05edab2eb8155b0fb2fd820d78017d04ff4ec79ea2fa142b5489
b2,baseTest/0024.trace,baseTest,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,d723312aa8c1976041cad7d58e58659979ac2d32409b27ffe5efaf859fb9e221,3,381,151,TIMEOUT,TIMEOUT,,,1.0,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,2086849,2868399,6685601,5852861,0.7275309327607491,1.1422791349393058,11.903815638999731,19.308027605999996,f51b078e9682a1dc4ce5a23038f0e3c26877d3a2c9e49f044331e331d6900cdf,42107e0b5ac5c51275bdb8cd549005b30fa04695fb2c4814dba9d2d81e7245dd
b2,increasingNumVariables/0038.trace,increasingNumVariables,plain,70,2,0,8,1,MIN_EXPANDED_SIZE,,15,f16cbe0b14ef8b33915104913a6a856768a9bfac70fb44cecf9831cf7984ace7,7,45,45,TIMEOUT,TIMEOUT,,,8.75,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,2162875,899060,7393845,1934027,2.4057070718305784,3.823030909082448,11.8459362829999,8.389180312999997,824751fa360874f015440646e7f0a15e6b2f5421cf2b471f65e6ef518f66fd37,d145739a87d347f3e6d817f72ad0cc419f6c7bcbc6cc106fcd9379ef1aa629d0
b2,equal/0027.trace,equal,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,2060b406c622d13080c08aafed54ff741a77a75ea2c0424b337ed9562ffcd122,3,50,50,TIMEOUT,UNSAT,,,1.0,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,394706,544223,1263900,1106574,0.7252651945985378,1.142173953120171,2.8324217050003426,5.536253992999264,0feb2ac69bd75ad5c728ca5b7aad31981dfe8e9049f17997503dcbdc9ba5e10d,d66ca0caf0b47eb5e27f7369fc1c59c5e53e8206d1e809043f00e46e82797d43
b2,moreDetailedTest/0079.trace,moreDetailedTest,plain,67,2,0,8,1,MIN_EXPANDED_SIZE,,7,73361930f2abc56658d9de6f4f3cf4ee57a4b1ba1f5dd96eaab48b01b811babb,4,213,350,TIMEOUT,TIMEOUT,,,8.375,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,3689025,4539849,12095404,9483506,0.8125875992791831,1.2754148096706008,21.559464134000336,31.97573403899969,46d62f97c807aed21789f9d19538a4fb94694ee8f1518d2d2fcda14bf29760b0,c67cbb903617b304fff8396df634603992340cb8991417bb0e5a33a8d196859d
b2,5to10Traces/0197.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,9562ac3a2879a4b49b5609d75f0a5e8bd0127f9043ce178798c78d75444be3c3,3,51,250,SAT,TIMEOUT,,,1.25,,TRANSLATED_ONLY,TRANSLATED_ONLY,True,4806063,3150636,16457245,7418284,1.5254262948814143,2.218470605870576,26.71815248799976,18.606829724999443,bb1dee7c6ac8e5bc08249eefe34c488e87d3ea03a774975d7c520ac2fcb022ad,38a4f31ce1c89f6acda7f76043e9710e2013b11b0bb935794026772dd3ef616b
