batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,method,attempt,backendTotalClauses,emissionSec,error,modelBytes,modelSha256,parseSec,primaryVars,solverInvoked,status,translationSec,vars,wallSec
b2,5to10Traces/0128.trace,5to10Traces,plain,67,2,0,8,1,MIN_EXPANDED_SIZE,,5,b5d6342146db3553a3dcf5758ec58215536115c1632db0303a0b7e62d038592a,4,163,225,atlas-b,1,5304470,0.5163843690006615,,109768,a2ed53e98618246c8270e07a4e92a4cb8ba2ae57211a238238d8efb2894f180c,1.403258859,27375,False,TRANSLATED_ONLY,8.582180766999954,1643639,9.101402872999643
b2,5to10Traces/0128.trace,5to10Traces,plain,67,2,0,8,1,MIN_EXPANDED_SIZE,,5,b5d6342146db3553a3dcf5758ec58215536115c1632db0303a0b7e62d038592a,4,163,225,macro,1,4337789,0.3643993430005139,,145797,0039e2fbadaf7f8f0cd060ff9044f4abc595996cfac79bf833aa5224c54c61ac,2.024198647,40792,False,TRANSLATED_ONLY,14.736209812999732,2130066,15.101374575000591
b2,baseTest/0007.trace,baseTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,7,1afe526db22540339194bce20eb8c5a402e11a7dfd0852830fd6e17afd7e22cf,3,10,6,atlas-b,1,339480,0.41525770600037504,,6189,91dc3a8a5805549d66783eddf779c8a0c37122afa3578296e16d292704a07fef,0.199315225,1469,False,TRANSLATED_ONLY,1.0156658109999626,104271,1.4324687229991468
b2,baseTest/0007.trace,baseTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,7,1afe526db22540339194bce20eb8c5a402e11a7dfd0852830fd6e17afd7e22cf,3,10,6,macro,1,303324,0.21415481799976988,,35479,8046cd4ff0c6a649c1840c4d51826c177412eee78d7f1904adc402836e460012,0.500371568,3666,False,TRANSLATED_ONLY,2.4179467149997436,143073,2.63268085800064
b2,disjunctedExistence/0036.trace,disjunctedExistence,plain,11,2,0,8,1,MIN_EXPANDED_SIZE,,5,42bd2fd48168a346de5a4a580a801bd6fa28548f4a7dfc831b33916167f8b112,4,250,1,atlas-b,1,3436661,0.46573556499970437,,71927,927c5513897af1f9b6f0bb4840f8037cf509417d7ce7544fd1e45b6f2d471ecb,0.911028845,17785,False,TRANSLATED_ONLY,7.5791051460000745,1064950,8.046235314999649
b2,disjunctedExistence/0036.trace,disjunctedExistence,plain,11,2,0,8,1,MIN_EXPANDED_SIZE,,5,42bd2fd48168a346de5a4a580a801bd6fa28548f4a7dfc831b33916167f8b112,4,250,1,macro,1,2826147,0.2643903609996414,,105109,2c16a30861ddd788075772bfe8f49262859a37706a8a3d353c0cf39ed91226fa,1.255394293,26785,False,TRANSLATED_ONLY,11.181730068000434,1387168,11.44682083600037
b2,equal/0039.trace,equal,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,0d5ade36218701a3ad9bb7a45cdc9fd97f1e71a2ac121ffdaec5ac6268e17437,3,200,200,atlas-b,1,11641935,0.5153607740003281,,95089,7aa3758190cefc30de008c5c96e35ae364fc10879ca8a4052cab7e92e0d8e4da,1.280262277,34375,False,TRANSLATED_ONLY,19.347350295999604,3524531,19.86573704300008
b2,equal/0039.trace,equal,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,9,0d5ade36218701a3ad9bb7a45cdc9fd97f1e71a2ac121ffdaec5ac6268e17437,3,200,200,macro,1,7640888,0.31427161999999953,,137398,e29cc32aabd029d222de5aa6d8fa94416e851b25fd3f946c1250c82b4bd121a3,2.175500953,64775,False,TRANSLATED_ONLY,27.005393849999564,3613552,27.320346397999856
b2,increasingNumVariables/0006.trace,increasingNumVariables,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,a032eec421c1e7a369a80d20704c289cca03b525420d89c4af8c374bd834215f,3,45,45,atlas-b,1,1138395,0.46585837899965554,,23278,c87738aec5e7c336fe71420a389333f98400c38e79fcda1c18075fdbccd00f4e,0.37124112,6029,False,TRANSLATED_ONLY,2.3180053409996617,355536,2.785595340999862
b2,increasingNumVariables/0006.trace,increasingNumVariables,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,a032eec421c1e7a369a80d20704c289cca03b525420d89c4af8c374bd834215f,3,45,45,macro,1,1020146,0.2642669090000709,,60829,08b399f863343ecfcf9c7ad918fadd81e89eb96cd04d421a89448c2a9bb2c6aa,0.734662264,10001,False,TRANSLATED_ONLY,5.27216008600044,497327,5.537054209999951
b2,disjunctedExistence/0057.trace,disjunctedExistence,plain,134,2,0,8,1,MIN_EXPANDED_SIZE,,11,6e6462f56f7be1474c46e342cd9b52c0e2b197772fd4f9243e9ad16e47672048,7,200,200,atlas-b,1,19858693,0.515520309000749,,167106,29879b44b4c73a8ef92bb10ad9ffa4be5ca7aa35b7e46d529cb2579d9930ba3b,2.161359429,46761,False,TRANSLATED_ONLY,29.61322154699974,5879267,30.131810077999944
b2,disjunctedExistence/0057.trace,disjunctedExistence,plain,134,2,0,8,1,MIN_EXPANDED_SIZE,,11,6e6462f56f7be1474c46e342cd9b52c0e2b197772fd4f9243e9ad16e47672048,7,200,200,macro,1,8165965,0.473010692000571,,188138,f30396ecf4941edc1665258b09bcedc52aa4157791bec886c82f393e3c071454,2.622400367,67951,False,TRANSLATED_ONLY,24.148320842999965,3840257,24.622057741999924
b2,moreDetailedTest/0113.trace,moreDetailedTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,6f6da48902bae6b3a98db814ddd95c545a8a3739feb97c0e73014d970977752b,3,100,100,atlas-b,1,2518950,0.4649429760002022,,48688,e1b8c0c36efcbbda425ce652efd087843f2dece7d316932374fecce275bb6990,0.647508063,13179,False,TRANSLATED_ONLY,4.973111401999631,786405,5.44042708500001
b2,moreDetailedTest/0113.trace,moreDetailedTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,6f6da48902bae6b3a98db814ddd95c545a8a3739feb97c0e73014d970977752b,3,100,100,macro,1,2208111,0.3142902569998114,,84900,ad161e97c14f9502276325f92153fd29df047ab34cee37c138b7cd6e480cb722,0.981910479,20879,False,TRANSLATED_ONLY,9.528588904999197,1080913,9.843503146999865
b2,equal/0021.trace,equal,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,15,b1e3c019e26ccc9ae26b50e4aa559c39fb6fdca6d7807a00026c13cd4d3c4c3b,3,5,5,atlas-b,1,799237,0.41444210600002407,,4810,dc0e3007fd487cef6c9d349b29a111e1e398486e27ef3e498354fbd646c3f8c6,0.190068626,1939,False,TRANSLATED_ONLY,1.3158209819994227,234621,1.7307870320000802
b2,equal/0021.trace,equal,plain,18,2,0,8,1,MIN_EXPANDED_SIZE,,15,b1e3c019e26ccc9ae26b50e4aa559c39fb6fdca6d7807a00026c13cd4d3c4c3b,3,5,5,macro,1,272995,0.2642235450002772,,36670,ad1c09d3a65658f4e6bf7041becc4b34627131a4ea5015926e62401bca5bba05,0.496573389,3950,False,TRANSLATED_ONLY,2.317673073000151,122848,2.582494102000055
b2,5to10Traces/0034.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,5359af3606015c7bc80e09ecb994c0944124012d2a334ddb061df8ee7e0ee7e9,3,150,150,atlas-b,1,3774000,0.4646640289993229,,71888,25d5f080b6de96e5b2ad14b83a7c39b0e1e159b386d19cb2f1f20c8da31c1a62,0.862904221,19679,False,TRANSLATED_ONLY,7.374707631999627,1178106,7.839998834999278
b2,5to10Traces/0034.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,5359af3606015c7bc80e09ecb994c0944124012d2a334ddb061df8ee7e0ee7e9,3,150,150,macro,1,3334109,0.3143197159997726,,105759,4c2bf0e35a91a4d179317f4df5204231c0fd3e1e9fa195d0bbfa6c8018eb8844,1.28443129,31484,False,TRANSLATED_ONLY,10.731664920000185,1637224,11.046614390999821
b2,baseTest/0042.trace,baseTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,7,2244b83a855d75871bb864ca4fbfbc316c76e290d7554bd7a76747980d449e08,3,4,46,atlas-b,1,1016936,0.41441576499983057,,14045,ba27ae7a9bb711694abef27e5870ea4033ebb3c292917ae93a69d680955e9225,0.268910809,4019,False,TRANSLATED_ONLY,1.7664908219994686,312045,2.181453632000739
b2,baseTest/0042.trace,baseTest,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,7,2244b83a855d75871bb864ca4fbfbc316c76e290d7554bd7a76747980d449e08,3,4,46,macro,1,859710,0.2643494260000807,,53036,460e34dc592fd51066b971d4759a28d189112e6578eabc44901f209477ec7cd1,0.588924423,8422,False,TRANSLATED_ONLY,4.320271444999889,410415,4.585223277000296
b2,increasingNumVariables/0052.trace,increasingNumVariables,plain,264,2,0,8,1,MIN_EXPANDED_SIZE,,5,2a19bc3133fc529e868e3edd14b0b7f45a305e34c253078a07b7b224493dbf1b,9,35,35,atlas-b,1,1383112,0.4645675069996287,,37583,9c0f60e8c964ca4fa12fe256eef46f9246030f9d8ea0c1cdf40e08fbf3b88b23,0.556694865,7105,False,TRANSLATED_ONLY,2.567694477000259,417435,3.032883349000258
b2,increasingNumVariables/0052.trace,increasingNumVariables,plain,264,2,0,8,1,MIN_EXPANDED_SIZE,,5,2a19bc3133fc529e868e3edd14b0b7f45a305e34c253078a07b7b224493dbf1b,9,35,35,macro,1,830648,0.4646414319995529,,61038,22f0a39ba3f3f753cf53cc98233941eff8ab96fbb78d85017ab9f28ffba4f225,0.649992642,8183,False,TRANSLATED_ONLY,4.2218806179998865,403665,4.687111373000334
b2,moreDetailedTest/0077.trace,moreDetailedTest,plain,67,2,0,8,1,MIN_EXPANDED_SIZE,,9,b00e1c488a1ff227de8228fb648596ebfe829fd0352e1b171b29410e87917875,4,155,250,atlas-b,1,12581813,0.514593345999856,,114478,8b0f3434babeca0db07cb389768bef53039a57a0b26eade7308102be49c93b73,1.284831247,36877,False,TRANSLATED_ONLY,18.689681299000767,3792246,19.204957119999563
b2,moreDetailedTest/0077.trace,moreDetailedTest,plain,67,2,0,8,1,MIN_EXPANDED_SIZE,,9,b00e1c488a1ff227de8228fb648596ebfe829fd0352e1b171b29410e87917875,4,155,250,macro,1,8041966,0.4144355929993253,,155730,7064efee45f83603c6cd45a60911ce31bfd68e8e95c5356de4e2e1af35e08062,2.569879738,67522,False,TRANSLATED_ONLY,28.35510556400004,3788154,28.770212712000102
b2,5to10Traces/0158.trace,5to10Traces,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,5366c4744106435515ba36ff3a0abe3eab73b21822dacf475bab1e42886251a5,3,50,50,atlas-b,1,1263900,0.4647483899998406,,25588,47080f5a648f64eb9b7265ac73d64ea331e989bac7136a09f25c8e41e6f4dfe8,0.440256539,6679,False,TRANSLATED_ONLY,2.417461999999432,394706,2.882753753000543
b2,5to10Traces/0158.trace,5to10Traces,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,5366c4744106435515ba36ff3a0abe3eab73b21822dacf475bab1e42886251a5,3,50,50,macro,1,1091346,0.2641781800002718,,68332,bde26414cc6f698fb8ec80e72ea699e844c81aad2b002483fe284273b46f58cc,0.712806184,10904,False,TRANSLATED_ONLY,5.171725600000173,539073,5.436492584000007
b2,disjunctedExistence/0015.trace,disjunctedExistence,plain,36,2,0,8,1,MIN_EXPANDED_SIZE,,11,1bfdce4b3f7d8319b507423f0276b9623575e0c9bd3e72db79a089df5b0b4f6b,5,300,50,atlas-b,1,15678371,0.5146467799995662,,115048,36a9d033ca597c70ab234444c54af278b092f9be75af349ce289fc10c3d07c09,1.449244174,37371,False,TRANSLATED_ONLY,24.799238970999795,4667777,25.314571387000797
b2,disjunctedExistence/0015.trace,disjunctedExistence,plain,36,2,0,8,1,MIN_EXPANDED_SIZE,,11,1bfdce4b3f7d8319b507423f0276b9623575e0c9bd3e72db79a089df5b0b4f6b,5,300,50,macro,1,7134841,0.3644718120003745,,142129,115ebd935ffe05edab2eb8155b0fb2fd820d78017d04ff4ec79ea2fa142b5489,2.358913531,59289,False,TRANSLATED_ONLY,25.499044160000267,3343841,25.864173257999937
b2,baseTest/0024.trace,baseTest,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,d723312aa8c1976041cad7d58e58659979ac2d32409b27ffe5efaf859fb9e221,3,381,151,atlas-b,1,6685601,0.5145100759991692,,125712,f51b078e9682a1dc4ce5a23038f0e3c26877d3a2c9e49f044331e331d6900cdf,1.875630479,34759,False,TRANSLATED_ONLY,11.388663978000295,2086849,11.903815638999731
b2,baseTest/0024.trace,baseTest,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,d723312aa8c1976041cad7d58e58659979ac2d32409b27ffe5efaf859fb9e221,3,381,151,macro,1,5852861,0.3142394160004187,,159177,42107e0b5ac5c51275bdb8cd549005b30fa04695fb2c4814dba9d2d81e7245dd,2.555063624,54458,False,TRANSLATED_ONLY,18.99312109499988,2868399,19.308027605999996
b2,increasingNumVariables/0038.trace,increasingNumVariables,plain,70,2,0,8,1,MIN_EXPANDED_SIZE,,15,f16cbe0b14ef8b33915104913a6a856768a9bfac70fb44cecf9831cf7984ace7,7,45,45,atlas-b,1,7393845,0.46470330900046974,,39496,824751fa360874f015440646e7f0a15e6b2f5421cf2b471f65e6ef518f66fd37,0.616048193,13267,False,TRANSLATED_ONLY,11.380624207999972,2162875,11.8459362829999
b2,increasingNumVariables/0038.trace,increasingNumVariables,plain,70,2,0,8,1,MIN_EXPANDED_SIZE,,15,f16cbe0b14ef8b33915104913a6a856768a9bfac70fb44cecf9831cf7984ace7,7,45,45,macro,1,1934027,0.3142276660000789,,67709,d145739a87d347f3e6d817f72ad0cc419f6c7bcbc6cc106fcd9379ef1aa629d0,0.764771777,17182,False,TRANSLATED_ONLY,8.074379994000083,899060,8.389180312999997
b2,equal/0027.trace,equal,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,2060b406c622d13080c08aafed54ff741a77a75ea2c0424b337ed9562ffcd122,3,50,50,atlas-b,1,1263900,0.4645972370008167,,25588,0feb2ac69bd75ad5c728ca5b7aad31981dfe8e9049f17997503dcbdc9ba5e10d,0.415037767,6679,False,TRANSLATED_ONLY,2.367203483000594,394706,2.8324217050003426
b2,equal/0027.trace,equal,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,2060b406c622d13080c08aafed54ff741a77a75ea2c0424b337ed9562ffcd122,3,50,50,macro,1,1106574,0.264230504999432,,62521,d66ca0caf0b47eb5e27f7369fc1c59c5e53e8206d1e809043f00e46e82797d43,0.708170553,10946,False,TRANSLATED_ONLY,5.271447294000609,544223,5.536253992999264
b2,moreDetailedTest/0079.trace,moreDetailedTest,plain,67,2,0,8,1,MIN_EXPANDED_SIZE,,7,73361930f2abc56658d9de6f4f3cf4ee57a4b1ba1f5dd96eaab48b01b811babb,4,213,350,atlas-b,1,12095404,0.5145018179991894,,158244,46d62f97c807aed21789f9d19538a4fb94694ee8f1518d2d2fcda14bf29760b0,2.012799058,45353,False,TRANSLATED_ONLY,21.044260480000048,3689025,21.559464134000336
b2,moreDetailedTest/0079.trace,moreDetailedTest,plain,67,2,0,8,1,MIN_EXPANDED_SIZE,,7,73361930f2abc56658d9de6f4f3cf4ee57a4b1ba1f5dd96eaab48b01b811babb,4,213,350,macro,1,9483506,0.4144145780001054,,193121,c67cbb903617b304fff8396df634603992340cb8991417bb0e5a33a8d196859d,2.939438601,81567,False,TRANSLATED_ONLY,31.560601895000218,4539849,31.97573403899969
b2,5to10Traces/0197.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,9562ac3a2879a4b49b5609d75f0a5e8bd0127f9043ce178798c78d75444be3c3,3,51,250,atlas-b,1,16457245,0.5146953319999739,,112869,bb1dee7c6ac8e5bc08249eefe34c488e87d3ea03a774975d7c520ac2fcb022ad,1.417263605,54359,False,TRANSLATED_ONLY,26.202819721000196,4806063,26.71815248799976
b2,5to10Traces/0197.trace,5to10Traces,plain,10,2,0,8,1,MIN_EXPANDED_SIZE,,5,9562ac3a2879a4b49b5609d75f0a5e8bd0127f9043ce178798c78d75444be3c3,3,51,250,macro,1,7418284,0.3645115089993851,,167325,38a4f31ce1c89f6acda7f76043e9710e2013b11b0bb935794026772dd3ef616b,1.92973906,63215,False,TRANSLATED_ONLY,18.24165845100015,3150636,18.606829724999443
b2,disjunctedExistence/0021.trace,disjunctedExistence,plain,36,2,0,8,1,MIN_EXPANDED_SIZE,,9,7c153275999711b89ac7dfe3272080e06f4dfd9607e4c22582b295b2e6a11951,5,500,107,atlas-b,1,20023895,0.5145363989995531,,197751,203a314c3904906f21ed78d1f34427244f97d7113159fce54b5d57af248f1b6b,2.392159281,58148,False,TRANSLATED_ONLY,33.57082487600019,6011925,34.086072351999974
b2,disjunctedExistence/0021.trace,disjunctedExistence,plain,36,2,0,8,1,MIN_EXPANDED_SIZE,,9,7c153275999711b89ac7dfe3272080e06f4dfd9607e4c22582b295b2e6a11951,5,500,107,macro,1,12344938,0.36436225500074215,,217602,2951e97a00c715d616c5530acb24f8962f6d0929d5858e3178e36990d5ca61d6,3.789098658,101289,False,TRANSLATED_ONLY,41.9274581210002,5788130,42.29254797300018
b2,baseTest/0028.trace,baseTest,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,b8f882bacbebe284185916f6223600b429c1d4be629d4815681951c6ffd7a893,3,15,6,atlas-b,1,272406,0.46469115800027794,,7343,55680e8a1cf1b709f5a516443eb8f4b8a149834e9ab389561148dcb7c688f4c3,0.273907767,1544,False,TRANSLATED_ONLY,1.0657184000001507,85263,1.5309600110003885
b2,baseTest/0028.trace,baseTest,plain,6,2,0,6,1,MIN_EXPANDED_SIZE,,5,b8f882bacbebe284185916f6223600b429c1d4be629d4815681951c6ffd7a893,3,15,6,macro,1,255102,0.2141272550006761,,29571,0d85d9e94228ff53ed0a442c153194d1a31738ab4027dcb68c4d991a7f2b32b1,0.466941761,3029,False,TRANSLATED_ONLY,1.9669534710001244,124063,2.1816220789996805
b2,increasingNumVariables/0027.trace,increasingNumVariables,plain,37,2,0,8,1,MIN_EXPANDED_SIZE,,11,eef1369c346b66bd1122b82261ff2687558f5613d70c776b649a1aacabd58a8d,6,30,30,atlas-b,1,2927953,0.4645725760001369,,24462,f2f5b123703e067556072838a3bb8f5d864ef972d17c343b2eaefe639d108d2e,0.45317835,7289,False,TRANSLATED_ONLY,4.119349669999792,867709,4.584515178999936
