task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound,learnedDagNodes,learnedUnaryNodes,learnedBinaryNodes,learnedUnaryDepth,learnedHasSharing
rq4c_binary/n03.trace,rq4c_binary,macro,1,SAT,,MACRO,,5,2,0,5,1,1,5,5,5,MIN_EXPANDED_SIZE,0,5,0.034383067,0.0004234,0.005569527,0.002551918,0.631474488,0.005768881,0.01787956,0.8888762110000243,109424,PASSED,5780,6463,15745,,5,476,1,1,0.0,0,1,,1,WEIGHTED_MAXSAT,1,1,5,0.185449536,0.446024952,0.761389172,8,8,0.005366003,0,5,0,2,0,False
rq4c_unary/d06.trace,rq4c_unary,macro,1,SAT,,MACRO,,7,0,0,2,1,8,1,1,7,MIN_EXPANDED_SIZE,0,7,0.036546927,0.000455391,0.007765048,0.004267448,1.096391862,0.004658017,0.011633216,1.4099229209996338,181032,PASSED,12750,27441,55140,,2,1897,8,1,6.0,6,1,,1,WEIGHTED_MAXSAT,8,7,7,0.310488989,0.785902873,1.262946466,32,32,0.008511865,0,7,6,0,6,False
rq4c_unary/d16.trace,rq4c_unary,macro,1,SAT,,MACRO,,17,0,0,2,1,18,1,1,17,MIN_EXPANDED_SIZE,0,17,0.0309873,0.000566433,0.011306759,0.009384835,2.983822376,0.005006785,0.018883522,3.286636219000684,414308,PASSED,18745,72100,166772,,2,3517,18,1,16.0,16,3,,3,WEIGHTED_MAXSAT,18,17,17,0.634755683,2.349066693,3.148054936,32,32,0.005472546,0,17,16,0,16,False
rq4c_unary/d06.trace,rq4c_unary,atlas-b,1,SAT,,ATLAS_B,,7,0,0,2,,,,,7,MIN_EXPANDED_SIZE,0,7,0.030380016,,,0.034298345,1.732965517,0.035692276,0.022199019,2.2770516139999017,438012,PASSED,7274,247125,835421,,8,4247,,,,,1,,1,,,,7,,,2.123363566,,,,,7,6,0,6,False
rq4c_binary/n03.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,5,2,0,5,,,,,5,MIN_EXPANDED_SIZE,0,5,0.032705088,,,0.035935982,0.328980353,0.018489313,0.014347279,0.8204223129996535,96012,PASSED,2814,4093,12121,,8,222,,,,,1,,1,,,,5,,,0.709926335,,,,,5,0,2,0,False
rq4c_unary/d16.trace,rq4c_unary,atlas-b,1,TIMEOUT,,ATLAS_B,,17,0,0,2,,,,,,MIN_EXPANDED_SIZE,,,0.030003207,,,,,,,180.33068507900043,6639828,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,
rq4c_binary/n05.trace,rq4c_binary,macro,1,SAT,,MACRO,,9,4,0,9,1,1,9,9,9,MIN_EXPANDED_SIZE,0,9,0.032732209,0.00045564,0.005791562,0.006418046,3.104443748,0.005561607,0.018573255,3.3927623379995566,231512,PASSED,13640,37933,100797,,9,2114,1,1,0.0,0,2,,2,WEIGHTED_MAXSAT,1,1,9,0.501262077,2.603181671,3.256899058,32,32,0.005832224,0,9,0,4,0,False
rq4c_unary/d24.trace,rq4c_unary,macro,1,SAT,,MACRO,,25,0,0,2,1,26,1,1,25,MIN_EXPANDED_SIZE,0,25,0.032468524,0.000476571,0.0104978,0.010121892,4.030104861,0.005414813,0.021236407,4.396977679999509,430648,PASSED,25457,124014,304636,,2,4813,26,1,24.0,24,3,,3,WEIGHTED_MAXSAT,26,25,25,0.685502214,3.344602647,4.223154381,32,32,0.005391263,0,25,24,0,24,False
rq4c_unary/d10.trace,rq4c_unary,macro,1,SAT,,MACRO,,11,0,0,2,1,12,1,1,11,MIN_EXPANDED_SIZE,0,11,0.030226842,0.0004711,0.018107225,0.009014266,1.69288538,0.005133827,0.017630904,2.051456848000271,212892,PASSED,14803,42639,91773,,2,2545,12,1,10.0,10,2,,2,WEIGHTED_MAXSAT,12,11,11,0.456637036,1.236248344,1.865837909,32,32,0.004873241,0,11,10,0,10,False
rq4c_unary/d24.trace,rq4c_unary,atlas-b,1,TIMEOUT,,ATLAS_B,,25,0,0,2,,,,,,MIN_EXPANDED_SIZE,,,0.030899108,,,,,,,180.28422542499993,4424084,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,
rq4c_binary/n05.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,9,4,0,9,,,,,9,MIN_EXPANDED_SIZE,0,9,0.035888281,,,0.047281413,0.92200944,0.023183221,0.053627958,1.4621063960003085,201328,PASSED,6348,26131,88797,,14,910,,,,,2,,2,,,,9,,,1.331042025,,,,,9,0,4,0,False
rq4c_unary/d10.trace,rq4c_unary,atlas-b,1,SAT,,ATLAS_B,,11,0,0,2,,,,,11,MIN_EXPANDED_SIZE,0,11,0.029542976,,,0.04974262,15.344296385,0.016652141,0.014555083,15.914063449000423,1878176,PASSED,8613,1259233,4344216,,12,9539,,,,,2,,2,,,,11,,,15.70535403,,,,,11,10,0,10,False
rq4c_binary/n07.trace,rq4c_binary,macro,1,TIMEOUT,,MACRO,,13,6,0,13,,,,,,MIN_EXPANDED_SIZE,,,0.031436519,,,,,,,180.0354109279997,624476,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,
rq4c_unary/d04.trace,rq4c_unary,macro,1,SAT,,MACRO,,5,0,0,2,1,6,1,1,5,MIN_EXPANDED_SIZE,0,5,0.030231832,0.000492571,0.011981535,0.004048513,0.928969179,0.005250631,0.014964392,1.2371677959999943,158656,PASSED,11926,21198,40975,,2,1573,6,1,4.0,4,1,,1,WEIGHTED_MAXSAT,6,5,5,0.254755872,0.674213307,1.111475668,32,32,0.005529867,0,5,4,0,4,False
rq4c_unary/d14.trace,rq4c_unary,macro,1,SAT,,MACRO,,15,0,0,2,1,16,1,1,15,MIN_EXPANDED_SIZE,0,15,0.032735409,0.000570413,0.010773267,0.007997953,2.096862239,0.005814043,0.018108834,2.4129154450001806,250012,PASSED,17327,61365,138900,,2,3193,16,1,14.0,14,2,,2,WEIGHTED_MAXSAT,16,15,15,0.507687075,1.589175164,2.262981792,32,32,0.005758822,0,15,14,0,14,False
rq4c_unary/d04.trace,rq4c_unary,atlas-b,1,SAT,,ATLAS_B,,5,0,0,2,,,,,5,MIN_EXPANDED_SIZE,0,5,0.030090099,,,0.043389883,0.904616682,0.014964263,0.012800843,1.4300862629997937,214404,PASSED,6672,79076,259459,,6,2393,,,,,1,,1,,,,5,,,1.269851704,,,,,5,4,0,4,False
rq4c_binary/n07.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,13,6,0,13,,,,,13,MIN_EXPANDED_SIZE,0,13,0.033060047,,,0.073460812,16.490668231,0.033415435,0.027202533,17.12296111699925,367004,PASSED,22224,132780,471187,,20,3542,,,,,2,,2,,,,13,,,16.938564616,,,,,13,0,6,0,False
rq4c_unary/d14.trace,rq4c_unary,atlas-b,1,TIMEOUT,,ATLAS_B,,15,0,0,2,,,,,,MIN_EXPANDED_SIZE,,,0.030496338,,,,,,,180.270490461,5234672,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,
rq4c_binary/n04.trace,rq4c_binary,macro,1,SAT,,MACRO,,7,3,0,7,1,1,7,7,7,MIN_EXPANDED_SIZE,0,7,0.034112261,0.000397129,0.005654059,0.002887606,0.869049217,0.00523168,0.010796607,1.1298050969999167,136476,PASSED,8528,16427,42114,,7,1041,1,1,0.0,0,1,,1,WEIGHTED_MAXSAT,1,1,7,0.232267788,0.636781429,0.998143613,16,16,0.005635898,0,7,0,3,0,False
rq4c_unary/d08.trace,rq4c_unary,macro,1,SAT,,MACRO,,9,0,0,2,1,10,1,1,9,MIN_EXPANDED_SIZE,0,9,0.031680415,0.00043057,0.00872836,0.008606118,1.627884081,0.004612926,0.014269557,1.9430031359997884,347460,PASSED,13662,34585,72105,,2,2221,10,1,8.0,8,2,,2,WEIGHTED_MAXSAT,10,9,9,0.41713374,1.210750341,1.789543643,32,32,0.004497383,0,9,8,0,8,False
rq4c_unary/d12.trace,rq4c_unary,macro,1,SAT,,MACRO,,13,0,0,2,1,14,1,1,13,MIN_EXPANDED_SIZE,0,13,0.034993891,0.000487611,0.009137309,0.007984543,1.908062965,0.004968644,0.015421473,2.230417826000121,252336,PASSED,16013,51561,114024,,2,2869,14,1,12.0,12,2,,2,WEIGHTED_MAXSAT,14,13,13,0.443672127,1.464390838,2.070939105,32,32,0.00524062,0,13,12,0,12,False
rq4c_unary/d08.trace,rq4c_unary,atlas-b,1,SAT,,ATLAS_B,,9,0,0,2,,,,,9,MIN_EXPANDED_SIZE,0,9,0.037727034,,,0.056488883,7.93913719,0.018919213,0.0253084,8.510266946000229,1036588,PASSED,7877,604909,2072636,,10,6629,,,,,2,,2,,,,9,,,8.326813406,,,,,9,8,0,8,False
rq4c_binary/n04.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,7,3,0,7,,,,,7,MIN_EXPANDED_SIZE,0,7,0.035834611,,,0.030069248,0.451032747,0.017839258,0.014916722,0.9592477119995237,106024,PASSED,3944,11501,37830,,11,464,,,,,1,,1,,,,7,,,0.811658804,,,,,7,0,3,0,False
