task,axis,axisValue,regime,B,b,p,K,q,compressionPotential,targetUnaryDepth,atlasStatus,macroStatus,atlasSec,macroSec,speedup,bothSolved,statusAgreement,objectiveAgreement
rq4c_binary/n02.trace,certified_binary_arity,2,certified_binary,3,1,0,3,1,0.0,0,SAT,SAT,0.6534961020006449,0.7143343650004681,0.9148322326621044,True,True,True
rq4c_binary/n03.trace,certified_binary_arity,3,certified_binary,5,2,0,5,1,0.0,0,SAT,SAT,0.8204223129996535,0.8888762110000243,0.9229882663601074,True,True,True
rq4c_binary/n04.trace,certified_binary_arity,4,certified_binary,7,3,0,7,1,0.0,0,SAT,SAT,0.9592477119995237,1.1298050969999167,0.8490382230941506,True,True,True
rq4c_binary/n05.trace,certified_binary_arity,5,certified_binary,9,4,0,9,1,0.0,0,SAT,SAT,1.4621063960003085,3.3927623379995566,0.43094866375532714,True,True,True
rq4c_binary/n06.trace,certified_binary_arity,6,certified_binary,11,5,0,11,1,0.0,0,SAT,SAT,2.5260940759999357,12.199003881999488,0.20707379884741,True,True,True
rq4c_binary/n07.trace,certified_binary_arity,7,certified_binary,13,6,0,13,1,0.0,0,SAT,TIMEOUT,17.12296111699925,180.0354109279997,,False,,
rq4c_unary/d04.trace,certified_unary_depth,4,certified_unary,5,0,0,2,1,0.6,4,SAT,SAT,1.4300862629997937,1.2371677959999943,1.1559355712487365,True,True,True
rq4c_unary/d06.trace,certified_unary_depth,6,certified_unary,7,0,0,2,1,0.7142857142857143,6,SAT,SAT,2.2770516139999017,1.4099229209996338,1.6150185092284866,True,True,True
rq4c_unary/d08.trace,certified_unary_depth,8,certified_unary,9,0,0,2,1,0.7777777777777778,8,SAT,SAT,8.510266946000229,1.9430031359997884,4.379955332198268,True,True,True
rq4c_unary/d10.trace,certified_unary_depth,10,certified_unary,11,0,0,2,1,0.8181818181818181,10,SAT,SAT,15.914063449000423,2.051456848000271,7.757444893132026,True,True,True
rq4c_unary/d12.trace,certified_unary_depth,12,certified_unary,13,0,0,2,1,0.8461538461538461,12,SAT,SAT,91.80896678600038,2.230417826000121,41.16222786411473,True,True,True
rq4c_unary/d14.trace,certified_unary_depth,14,certified_unary,15,0,0,2,1,0.8666666666666667,14,TIMEOUT,SAT,180.270490461,2.4129154450001806,,False,,
rq4c_unary/d16.trace,certified_unary_depth,16,certified_unary,17,0,0,2,1,0.8823529411764706,16,TIMEOUT,SAT,180.33068507900043,3.286636219000684,,False,,
rq4c_unary/d20.trace,certified_unary_depth,20,certified_unary,21,0,0,2,1,0.9047619047619048,20,TIMEOUT,SAT,180.439301806,3.8053064340001583,,False,,
rq4c_unary/d24.trace,certified_unary_depth,24,certified_unary,25,0,0,2,1,0.92,24,TIMEOUT,SAT,180.28422542499993,4.396977679999509,,False,,
rq4c_unary/d28.trace,certified_unary_depth,28,certified_unary,29,0,0,2,1,0.9310344827586207,28,TIMEOUT,SAT,180.3168341520004,4.461281572999724,,False,,
rq4c_unary/d32.trace,certified_unary_depth,32,certified_unary,33,0,0,2,1,0.9393939393939394,32,TIMEOUT,SAT,180.30468083400046,6.7210419310004,,False,,
rq4c_unary/d40.trace,certified_unary_depth,40,certified_unary,41,0,0,2,1,0.9512195121951219,40,TIMEOUT,SAT,180.28247914500025,8.28488522599946,,False,,
