algorithm,task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound,learnedDagNodes,learnedUnaryNodes,learnedBinaryNodes,learnedUnaryDepth,learnedHasSharing,axis,axisValue,regime,target,targetUnaryDepth,targetBinaryNodes,AP,positive,negative,length,profile,requiredPropositions,q,compressionPotential,recognizedFeatures,seed,traceSetHash,certifiedMinNodes,certifiedMinBinary,construction,runCommit,timeoutSec,solved
ATLAS-B,rq4c_binary/n02.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,3,1,0,3,1,,,,3,MIN_EXPANDED_SIZE,0,3,0.037016358,,,0.028156755,0.189463978,0.017331067,0.011612576,0.6534961020006449,84108,PASSED,2286,1240,3259,,5,88,,,,,1,,1,,,,3,,,0.542465751,,,,,3,0,1,0,False,certified_binary_arity,2,certified_binary,"&(x0,x1)",0,1,2,1,3,1,none,,1,0.0,,20263924,abe8260b908f38f99e47646ac93e4994eb2c29d9c7a8612ddcaa3b3c90030bc8,3,1,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
MacroATLAS,rq4c_binary/n02.trace,rq4c_binary,macro,1,SAT,,MACRO,,3,1,0,3,1,1,3,3,3,MIN_EXPANDED_SIZE,0,3,0.030673603,0.000399529,0.00609716,0.002414235,0.471386842,0.005454985,0.007984253,0.7143343650004681,88892,PASSED,4106,1941,4241,,3,175,1,1,0.0,0,1,,1,WEIGHTED_MAXSAT,1,1,3,0.175752123,0.295634719,0.600839926,4,4,0.009015556,0,3,0,1,0,False,certified_binary_arity,2,certified_binary,"&(x0,x1)",0,1,2,1,3,1,none,,1,0.0,,20263924,abe8260b908f38f99e47646ac93e4994eb2c29d9c7a8612ddcaa3b3c90030bc8,3,1,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
ATLAS-B,rq4c_binary/n03.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,5,2,0,5,1,,,,5,MIN_EXPANDED_SIZE,0,5,0.032705088,,,0.035935982,0.328980353,0.018489313,0.014347279,0.8204223129996535,96012,PASSED,2814,4093,12121,,8,222,,,,,1,,1,,,,5,,,0.709926335,,,,,5,0,2,0,False,certified_binary_arity,3,certified_binary,"&(x0,&(x1,x2))",0,2,3,1,7,1,none,,1,0.0,,20263924,71042c1ed1e02606c5f055af201bfdf81e6dbd862af2ed331b34e95a856ff1a0,5,2,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
MacroATLAS,rq4c_binary/n03.trace,rq4c_binary,macro,1,SAT,,MACRO,,5,2,0,5,1,1,5,5,5,MIN_EXPANDED_SIZE,0,5,0.034383067,0.0004234,0.005569527,0.002551918,0.631474488,0.005768881,0.01787956,0.8888762110000243,109424,PASSED,5780,6463,15745,,5,476,1,1,0.0,0,1,,1,WEIGHTED_MAXSAT,1,1,5,0.185449536,0.446024952,0.761389172,8,8,0.005366003,0,5,0,2,0,False,certified_binary_arity,3,certified_binary,"&(x0,&(x1,x2))",0,2,3,1,7,1,none,,1,0.0,,20263924,71042c1ed1e02606c5f055af201bfdf81e6dbd862af2ed331b34e95a856ff1a0,5,2,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
ATLAS-B,rq4c_binary/n04.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,7,3,0,7,1,,,,7,MIN_EXPANDED_SIZE,0,7,0.035834611,,,0.030069248,0.451032747,0.017839258,0.014916722,0.9592477119995237,106024,PASSED,3944,11501,37830,,11,464,,,,,1,,1,,,,7,,,0.811658804,,,,,7,0,3,0,False,certified_binary_arity,4,certified_binary,"&(x0,&(x1,&(x2,x3)))",0,3,4,1,15,1,none,,1,0.0,,20263924,7f0dc63f745b670ed32537eeab2a8ad5b2c8d99446fb39be473fbe399c3bb3a6,7,3,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
MacroATLAS,rq4c_binary/n04.trace,rq4c_binary,macro,1,SAT,,MACRO,,7,3,0,7,1,1,7,7,7,MIN_EXPANDED_SIZE,0,7,0.034112261,0.000397129,0.005654059,0.002887606,0.869049217,0.00523168,0.010796607,1.1298050969999167,136476,PASSED,8528,16427,42114,,7,1041,1,1,0.0,0,1,,1,WEIGHTED_MAXSAT,1,1,7,0.232267788,0.636781429,0.998143613,16,16,0.005635898,0,7,0,3,0,False,certified_binary_arity,4,certified_binary,"&(x0,&(x1,&(x2,x3)))",0,3,4,1,15,1,none,,1,0.0,,20263924,7f0dc63f745b670ed32537eeab2a8ad5b2c8d99446fb39be473fbe399c3bb3a6,7,3,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
ATLAS-B,rq4c_binary/n05.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,9,4,0,9,1,,,,9,MIN_EXPANDED_SIZE,0,9,0.035888281,,,0.047281413,0.92200944,0.023183221,0.053627958,1.4621063960003085,201328,PASSED,6348,26131,88797,,14,910,,,,,2,,2,,,,9,,,1.331042025,,,,,9,0,4,0,False,certified_binary_arity,5,certified_binary,"&(x0,&(x1,&(x2,&(x3,x4))))",0,4,5,1,31,1,none,,1,0.0,,20263924,b057efd0aa8a15d7d2ed826d0b431d9d028382547df2476a993d72d9d7df1223,9,4,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
MacroATLAS,rq4c_binary/n05.trace,rq4c_binary,macro,1,SAT,,MACRO,,9,4,0,9,1,1,9,9,9,MIN_EXPANDED_SIZE,0,9,0.032732209,0.00045564,0.005791562,0.006418046,3.104443748,0.005561607,0.018573255,3.3927623379995566,231512,PASSED,13640,37933,100797,,9,2114,1,1,0.0,0,2,,2,WEIGHTED_MAXSAT,1,1,9,0.501262077,2.603181671,3.256899058,32,32,0.005832224,0,9,0,4,0,False,certified_binary_arity,5,certified_binary,"&(x0,&(x1,&(x2,&(x3,x4))))",0,4,5,1,31,1,none,,1,0.0,,20263924,b057efd0aa8a15d7d2ed826d0b431d9d028382547df2476a993d72d9d7df1223,9,4,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
ATLAS-B,rq4c_binary/n06.trace,rq4c_binary,atlas-b,1,SAT,,ATLAS_B,,11,5,0,11,1,,,,11,MIN_EXPANDED_SIZE,0,11,0.029047545,,,0.055799687,2.001161267,0.02397434,0.017389688,2.5260940759999357,244800,PASSED,11441,62255,218007,,17,1776,,,,,2,,2,,,,11,,,2.385996488,,,,,11,0,5,0,False,certified_binary_arity,6,certified_binary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20263924,34beead46c702b16cf4a0044d8a575bfb07ca9bb06f308f8912e8d23b9a0f6de,11,5,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
MacroATLAS,rq4c_binary/n06.trace,rq4c_binary,macro,1,SAT,,MACRO,,11,5,0,11,1,1,11,11,11,MIN_EXPANDED_SIZE,0,11,0.029960266,0.000452241,0.009048737,0.007819619,11.85037776,0.006327975,0.012163809,12.199003881999488,280348,PASSED,23956,82567,224907,,11,4247,1,1,0.0,0,2,,2,WEIGHTED_MAXSAT,1,1,11,0.598287639,11.252090121,12.033736848,64,64,0.007003531,0,11,0,5,0,False,certified_binary_arity,6,certified_binary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20263924,34beead46c702b16cf4a0044d8a575bfb07ca9bb06f308f8912e8d23b9a0f6de,11,5,certified_binary,1bc3be5c36f454f9448825296a9f1709d676106d,180.0,True
