algorithm,task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound,learnedDagNodes,learnedUnaryNodes,learnedBinaryNodes,learnedUnaryDepth,learnedHasSharing,axis,axisValue,regime,target,targetUnaryDepth,targetBinaryNodes,AP,positive,negative,length,profile,requiredPropositions,q,compressionPotential,recognizedFeatures,seed,traceSetHash,certifiedMinNodes,certifiedMinBinary,construction,runCommit,timeoutSec,solved
ATLAS-B,rq4f_binary_budget/b05.trace,rq4f_binary_budget,atlas-b,1,TIMEOUT,,ATLAS_B,,21,5,0,17,1,,,,,MIN_EXPANDED_SIZE,,,0.031985645,,,,,,,180.02583774799996,299688,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,b,5,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.19047619047619047,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_binary_budget/b05.trace,rq4f_binary_budget,macro,1,TIMEOUT,,MACRO,,21,5,0,17,1,,,,,MIN_EXPANDED_SIZE,,,0.033556112,,,,,,,180.08238865399994,532044,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,b,5,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.19047619047619047,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
ATLAS-B,rq4f_binary_budget/b06.trace,rq4f_binary_budget,atlas-b,1,TIMEOUT,,ATLAS_B,,21,6,0,20,1,,,,,MIN_EXPANDED_SIZE,,,0.034298456,,,,,,,180.02808613600018,307216,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,b,6,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.04761904761904767,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_binary_budget/b06.trace,rq4f_binary_budget,macro,1,TIMEOUT,,MACRO,,21,6,0,20,1,,,,,MIN_EXPANDED_SIZE,,,0.042266038,,,,,,,180.03696090400013,573972,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,b,6,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.04761904761904767,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
ATLAS-B,rq4f_binary_budget/b07.trace,rq4f_binary_budget,atlas-b,1,TIMEOUT,,ATLAS_B,,21,7,0,21,1,,,,,MIN_EXPANDED_SIZE,,,0.032905808,,,,,,,180.07187423100004,299136,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,b,7,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_binary_budget/b07.trace,rq4f_binary_budget,macro,1,TIMEOUT,,MACRO,,21,7,0,21,1,,,,,MIN_EXPANDED_SIZE,,,0.036301043,,,,,,,180.07459834600013,524656,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,b,7,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
ATLAS-B,rq4f_binary_budget/b08.trace,rq4f_binary_budget,atlas-b,1,TIMEOUT,,ATLAS_B,,21,8,0,21,1,,,,,MIN_EXPANDED_SIZE,,,0.043150079,,,,,,,180.068266559,281252,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,b,8,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_binary_budget/b08.trace,rq4f_binary_budget,macro,1,TIMEOUT,,MACRO,,21,8,0,21,1,,,,,MIN_EXPANDED_SIZE,,,0.035255362,,,,,,,180.04032363700003,541448,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,b,8,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,&(x4,x5)))))",0,5,6,1,63,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,11,5,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
ATLAS-B,rq4f_boolean_B/B07.trace,rq4f_boolean_B,atlas-b,1,SAT,,ATLAS_B,,7,3,0,7,1,,,,7,MIN_EXPANDED_SIZE,0,7,0.037050906,,,0.044022312,9.930310777,0.027853806,0.015053629,10.496066769000208,247980,PASSED,12053,50535,156079,,13,1310,,,,,1,,1,,,,7,,,10.335763134,,,,,7,0,3,0,False,B,7,large_b_short_unary,"&(x0,&(x1,&(x2,x3)))",0,3,6,4,60,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,7,3,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,True
MacroATLAS,rq4f_boolean_B/B07.trace,rq4f_boolean_B,macro,1,SAT,,MACRO,,7,3,0,7,1,3,7,7,7,MIN_EXPANDED_SIZE,0,7,0.038333913,0.000527052,0.01126764,0.007313268,5.285673657,0.007704317,0.016244424,5.673136016000171,239072,PASSED,23302,58153,121715,,7,2537,3,1,0.0,0,1,,1,WEIGHTED_MAXSAT,64,3,7,0.45095173,4.834721927,5.504039313,64,64,0.018384233,0,7,0,3,0,False,B,7,large_b_short_unary,"&(x0,&(x1,&(x2,x3)))",0,3,6,4,60,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,7,3,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,True
ATLAS-B,rq4f_boolean_B/B09.trace,rq4f_boolean_B,atlas-b,1,TIMEOUT,,ATLAS_B,,9,4,0,9,1,,,,,MIN_EXPANDED_SIZE,,,0.03470058,,,,,,,180.059904405,299164,IN_PROGRESS,,,,TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,,,,B,9,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,x4))))",0,4,6,2,62,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,9,4,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,False
MacroATLAS,rq4f_boolean_B/B09.trace,rq4f_boolean_B,macro,1,SAT,,MACRO,,9,4,0,9,1,3,9,9,9,MIN_EXPANDED_SIZE,0,9,0.031688096,0.000588733,0.015010895,0.005884165,77.432544578,0.006369906,0.011401052,77.80129031599995,429596,PASSED,24217,84258,189032,,9,3421,3,1,0.0,0,2,,2,WEIGHTED_MAXSAT,84,3,9,0.591473366,76.841071212,77.61406846,64,64,0.01263235,0,9,0,4,0,False,B,9,large_b_short_unary,"&(x0,&(x1,&(x2,&(x3,x4))))",0,4,6,2,62,1,none,,1,0.0,,20261924,fc91b9927578e3f27e236da4b76c50caec57fcbf326b8e1c65560503c0bfeb7f,9,4,complete_boolean_truth_table,75d5f18883a86b40681e0514f48499fb1f9f3500,180.0,True
