campaign,server,algorithm,task,family,variant,repeat,status,outcome,solverMode,fallbackReason,B,b,p,K,qStates,fiberCount,activeAnchors,activeMacroEdges,expandedSize,objectiveKind,objectivePrimary,objectiveSecondary,analysisSec,registrySec,fiberSec,encodingSec,solverSec,decodeSec,verifySec,totalSec,peakRssKb,verification,modelBytes,vars,backendTotalClauses,error,searchNodeUniverse,primaryVars,semanticTypeCount,selectedFiberCount,meanRepresentativeLength,maxRepresentativeLength,optimizationPasses,fallbackUsed,backendTranslationCount,costStrategy,unquotientedFiberCount,encodedFiberCount,costScope,parseSec,translationAndSolveSec,totalInternalSec,inputTraceCount,reducedTraceCount,smallFormulaSec,smallFormulaBound,learnedDagNodes,learnedUnaryNodes,learnedBinaryNodes,learnedUnaryDepth,learnedHasSharing,axis,axisValue,regime,target,targetUnaryDepth,targetBinaryNodes,AP,positive,negative,length,profile,requiredPropositions,q,compressionPotential,recognizedFeatures,seed,runCommit,timeoutSec,solved,traceSetHash,certifiedMinNodes,certifiedMinBinary,construction
primary,139.159.185.102,ATLAS-B,binary_budget/b03.trace,binary_budget,atlas-b,1,SAT,,ATLAS_B,,15,3,0,11,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.035104546,,,0.046234248,1.990986544,0.024046248,0.02179067,2.5457429770031013,410800,PASSED,6218,248410,852479,,12,2128,,,,,1,,1,,,,8,,,2.372638395,,,,,1,0,0,0,False,b,3,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.2666666666666667,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,binary_budget/b03.trace,binary_budget,macro,1,SAT,,MACRO,,15,3,0,11,1,72,1,1,1,MIN_EXPANDED_SIZE,0,1,0.04125783,0.000426201,0.066405789,0.007116121,0.661356376,0.004693939,0.007327337,1.0277262760027952,118896,PASSED,12416,3988,8007,,11,426,71,1,0.0,0,1,,1,WEIGHTED_MAXSAT,144,1,1,0.262782825,0.398573551,0.856435868,8,8,0.008988209,1,1,0,0,0,False,b,3,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.2666666666666667,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,binary_budget/b04.trace,binary_budget,atlas-b,1,SAT,,ATLAS_B,,15,4,0,14,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.03459557,,,0.037026992,2.20193,0.011651577,0.012093937,2.7267037399979017,408476,PASSED,6218,248411,852492,,12,2128,,,,,1,,1,,,,8,,,2.572046266,,,,,1,0,0,0,False,b,4,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.06666666666666665,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,binary_budget/b04.trace,binary_budget,macro,1,SAT,,MACRO,,15,4,0,14,1,72,1,1,1,MIN_EXPANDED_SIZE,0,1,0.032770083,0.000508023,0.077902762,0.003614912,0.751721504,0.004470963,0.011730859,1.1168998449975334,126120,PASSED,12416,3988,8007,,14,426,71,1,0.0,0,1,,1,WEIGHTED_MAXSAT,144,1,1,0.315164398,0.436557106,0.952552964,8,8,0.00548027,1,1,0,0,0,False,b,4,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.06666666666666665,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,binary_budget/b05.trace,binary_budget,atlas-b,1,SAT,,ATLAS_B,,15,5,0,15,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.032424829,,,0.028774927,2.019790311,0.010575977,0.011532301,2.5163996159972157,411984,PASSED,6218,248410,852483,,12,2128,,,,,1,,1,,,,8,,,2.36219106,,,,,1,0,0,0,False,b,5,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,binary_budget/b05.trace,binary_budget,macro,1,SAT,,MACRO,,15,5,0,15,1,72,1,1,1,MIN_EXPANDED_SIZE,0,1,0.034058366,0.000527524,0.072965687,0.003629022,0.692789855,0.005039499,0.016007677,1.024881553999876,129364,PASSED,12416,3988,8007,,15,426,71,1,0.0,0,1,,1,WEIGHTED_MAXSAT,144,1,1,0.305517172,0.387272683,0.900949771,8,8,0.00549446,1,1,0,0,0,False,b,5,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,binary_budget/b06.trace,binary_budget,atlas-b,1,SAT,,ATLAS_B,,15,6,0,15,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.034765933,,,0.026748359,1.985006097,0.011640316,0.009290726,2.489866517000337,410380,PASSED,6218,248410,852487,,12,2128,,,,,1,,1,,,,8,,,2.323336118,,,,,1,0,0,0,False,b,6,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,binary_budget/b06.trace,binary_budget,macro,1,SAT,,MACRO,,15,6,0,15,1,72,1,1,1,MIN_EXPANDED_SIZE,0,1,0.031519132,0.000449141,0.062733395,0.003580911,0.727824267,0.004595897,0.006813423,1.0646105150008225,132052,PASSED,12416,3988,8007,,15,426,71,1,0.0,0,1,,1,WEIGHTED_MAXSAT,144,1,1,0.344652418,0.383171849,0.914954107,8,8,0.012253462,1,1,0,0,0,False,b,6,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,binary_budget/b07.trace,binary_budget,atlas-b,1,SAT,,ATLAS_B,,15,7,0,15,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.033334146,,,0.027837447,1.973672049,0.009788069,0.017948295,2.439125409000553,401452,PASSED,6218,248408,852449,,12,2128,,,,,1,,1,,,,8,,,2.30488631,,,,,1,0,0,0,False,b,7,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,binary_budget/b07.trace,binary_budget,macro,1,SAT,,MACRO,,15,7,0,15,1,72,1,1,1,MIN_EXPANDED_SIZE,0,1,0.035731833,0.00041086,0.067405623,0.003606711,0.66147569,0.005105799,0.007369786,1.0017079429999285,123680,PASSED,12416,3988,8007,,15,426,71,1,0.0,0,1,,1,WEIGHTED_MAXSAT,144,1,1,0.274386732,0.387088958,0.849773545,8,8,0.0055306,1,1,0,0,0,False,b,7,large_b_short_unary,"&(&(x0,x1),&(x2,x3))",0,3,4,4,4,10,none,,1,0.0,,20260927,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,ATLAS-B,constraint_states/r00.trace,constraint_states,atlas-b,1,SAT,,ATLAS_B,,11,2,0,8,1,,,,1,MIN_EXPANDED_SIZE,0,1,0.038130043,,,0.029409013,2.125938263,0.012486825,0.011934392,2.6614825510005176,400900,PASSED,5494,232301,795458,,11,2000,,,,,1,,1,,,,8,,,2.487724801,,,,,1,0,0,0,False,required_count,0,q_axis,"&(x0,&(x1,x2))",0,2,3,4,4,10,none,,1,0.2727272727272727,,20260928,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
primary,139.159.185.102,MacroATLAS,constraint_states/r00.trace,constraint_states,macro,1,SAT,,MACRO,,11,2,0,8,1,60,1,1,1,MIN_EXPANDED_SIZE,0,1,0.036678943,0.000474362,0.05660667,0.008007414,0.691961565,0.004249288,0.006902256,1.002938315999927,126772,PASSED,11878,3838,7509,,8,415,59,1,0.0,0,1,,1,WEIGHTED_MAXSAT,104,1,1,0.311813853,0.380147712,0.87653095,8,8,0.005382197,1,1,0,0,0,False,required_count,0,q_axis,"&(x0,&(x1,x2))",0,2,3,4,4,10,none,,1,0.2727272727272727,,20260928,76a1e1d8aec87e22d8df0632e95bfd2813e73363,180.0,True,,,,
