campaign,batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,e4AtlasStatus,e4MacroStatus,activeAnchors,e4MacroExpandedSize,B_over_K,activeAnchors_over_expandedSize,atlasStatus,macroStatus,pairedTranslated,atlasVars,macroVars,atlasClauses,macroClauses,C_V,C_C,atlasWallSec,macroWallSec,atlasModelSha256,macroModelSha256
remaining423,b2,5to10Traces/0000.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,77fb428a069a6f5b21aeed975b428548a2642a5226f0e4c2e2ac284777a8614b,2,5,5,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,38395,49172,121118,100564,0.7808305539738062,1.2043872558768545,1.1798133070001313,1.5302912930001185,36b3a991721435ede8921641af50e19b54d75775ede883f2ae9ba026e63bd70d,7f45fefc35f4e1fb7ebfc0212c0b9586d8acb354447219f88a40cc0e929185b4
frozen200,b2,5to10Traces/0002.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,eb40501cc06da1eccd73b8b511a5d40674abeffa8794fa8e717e0fabc662a9eb,2,25,25,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,182794,236718,579857,474168,0.772201522486672,1.2228935735857334,1.830765276999955,3.3830502410000918,a21f2d4aab87f78b97abf7541249bef1a4d9c013175bf54fdc0ef49a7fc4e175,752aafa4cb004e846b907020d1500dcbaa6c9e46ae4af768aeb39d3ff27ad06a
remaining423,b2,5to10Traces/0003.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,6f39abe0295506c074ecc2d2ca624dbabd9e790cd4e32e2376c334e22c74ed0b,2,1,25,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,388266,263090,1325516,615606,1.475791554220989,2.1531888902967156,2.531788910999694,3.2826377710002816,b3aedbd97722d584066a8d5b3bff9198faa99453d1138e0d08b5858a438da61f,b9d3c38d8fd476f25db18187ca45ccb6f5a1c0e548c93d294b94f1ebb756b6a9
remaining423,b2,5to10Traces/0004.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,05629bb4f6035f93350157aa5f7d9a45ae7afd501c1d9cfe01c1c67a1b471a14,2,50,50,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,363281,437799,1153269,878086,0.8297894695967785,1.313389576875158,2.982200710000143,5.2349673130001975,6f386fce860d85d94ed5bf2cd48a47184e994ca5427e974ae97a25cbc7763b04,9b6c976aee4bc4d9d1aad582846333a8107fa44d57650ad54583212fdf100a9f
remaining423,b2,5to10Traces/0005.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,660a589b506704d37a8541151f8c604018739a7d81f670e47eb3eaa1c1d4d439,2,2,50,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,774237,525155,2644600,1221659,1.4743018727804171,2.164761197682823,4.985089357999868,4.985072916999798,4893443fad245e9a97ab76368d14c06dfa045077b477bb8932c82b009a6ddff7,02c459cc4a8e74a72d09237e56538084e613e8e7da5ae8265f200f8b0e1afb3a
remaining423,b2,5to10Traces/0006.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,7d3075244c5bbbe213fc317b55abec9af8071310f9d4db6cd3ae780bfd8366dd,2,75,75,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,543780,631974,1726695,1258272,0.8604467905325219,1.3722748340581368,4.384096549000333,6.536829300000136,ad7cf3cc442e901d3e11321ee3b8f074889103d2ad0dc41884fbc5e68a4f4ad8,30b630961014aa395c322abd0ae8ab69005baa870c01eb57b130dcd5eed6604a
remaining423,b2,5to10Traces/0007.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,18f49d7822132d05f1d4bb6e2811d77950778ba815b21d52c8366d09efeb63b2,2,7,75,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1219587,824467,4166615,1939151,1.4792429533262095,2.148680015120019,6.436829031000116,7.688063500999988,b2906b8a4ae24d6876a961905ff0d9904619e751194e516b610f413fd22a72c2,dea8074171436b8e0bfdebfe6c3ca75fe9dbd32b01e66df9445117a24afb76a1
remaining423,b2,5to10Traces/0008.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,41fc8b607a7d2187795688c08a2796236044c4aecfef14332076b60f8e493d1b,2,100,100,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,724282,856000,2300122,1727932,0.8461238317757009,1.3311415032536003,5.284840998000163,7.788794188999873,730daa098ce658f7c44de45e18c6bfd2fc4b5769d45437401057615132907178,b2dff5a30ffe937fbaf2d03d2e9d3dd8e290b31330725f0e5dc662ead2290259
remaining423,b2,5to10Traces/0009.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,1fa2c89971eb9bf85ddb1903d4936d8b6807ddd6862da4db6a33713d919f22f9,2,5,100,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1561022,1039313,5333499,2415842,1.50197486224073,2.2077184683435425,9.090678977999687,7.2380863770004,6180a123fa925b6ce2abe35ba8968f8caafd72c835fd996141a96bedd1e2bf57,1c4805d845a998526fe31e4cbe3eeb0efe49a9a9584425f3eaac029e1120666a
remaining423,b2,5to10Traces/0010.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,2c8d5f6b675827a4d0fc5a57c97b8c99adfd9886e1aee9ccba5b50f656dad98c,2,125,125,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,904772,1028512,2873537,2061660,0.8796902709934352,1.3937977164032866,5.385574795999673,8.140606700000262,e81c5cc7a71fae86d57a7e6b32838625c1ff9a9d7f14da087543d0dd4a35d721,10f5d152c4373ad65cd12975fec57e8706cf7ef7e1aa0a4fbe11c09b87ee329a
frozen200,b2,5to10Traces/0011.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,e38bf3e3c82d45a788e109824513c902af600af42cf5fa633e528c6fba782796,2,8,125,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1976682,1342425,6754048,3138488,1.4724710877702665,2.152006953666861,8.741685527999834,10.143088398000145,21fc8e29f24a7cc196f31af12347a5ce081a2f7781bc58273aee70dafdde5bca,770b4d4d130ee103eefcd98a375374b8b8d4279eaed8c6bb7ed7594613a3923f
remaining423,b2,5to10Traces/0012.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,b0ba16143354c8bf8a49bc68a909bda16cdb8008d6a8f5dc909add5fee906128,2,150,150,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1085261,1127689,3446954,2246902,0.9623761515807994,1.5340918295501984,7.489648087000205,8.240748154999892,691a97147742f2c89e972d03ddab9f1b1ad09f812f4970335d8987f33b011e4e,5334ab884cac8bbd00112eb68fe94da2e099e9abcfccc540444b66507e9d95a4
remaining423,b2,5to10Traces/0013.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,0a8539b9676e0142c7a3d8adc1f088dd222e222568f6c4c0e638bd9d2d1c0025,2,4,150,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,2288427,1546986,7819466,3601990,1.4792810018965912,2.1708738780507444,11.894405386999551,11.192405081000288,78a1c22e7ec636d04092225a86271f2b2bc768f24a52610d9e7eb6a74c4cf339,97c26544adab02fe9489a72aab8cbf779c6144170732e882a13b02ca17489481
remaining423,b2,5to10Traces/0014.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,327d8396cc8c1a82e18d32f56a21117f218ebf6b88c17672b7bc0d39fff6f5bc,2,175,175,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1265757,1292471,4020372,2597699,0.9793310642946728,1.5476666080250252,6.688354789999721,9.14008825999963,efe8ca731a305ef780347df232f9474515d65c00aaf5442c4e8c9b29c73e7101,1765823d34adb4c29dad2a022b0fd874766cf81e14749d0210885e92b128bb85
remaining423,b2,5to10Traces/0015.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,0f0ec3bcc17fbab360cf629aca37f0d9e5415b296cb77f0082b1ee7567b46347,2,10,175,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,2748622,1836162,9392214,4287885,1.496938723271694,2.190407158774081,12.245165456999985,13.547387565999998,f1e4caab4e7cf85ef09da149333e5fe03e28e827d73e1334f67d2acc85223e4a,b513267cb70c7004aef6c744c836a2a5147d3b05af67a675b2b0b5e0cdc2e265
frozen200,b2,5to10Traces/0016.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,fbf3dac0c3575546823f9684f2862c2e7dd41a4bf51dc7a1cc1208b93e939e0d,2,200,200,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1446255,1518562,4593799,3058437,0.9523845585494698,1.5020087057539522,9.49300849500014,11.896659132000423,6bf7744089831fad289587bb3fdd42f952c186280b6d0aa504634e61f6005e70,26729a3c961dd9e3cdab63b9fa234600f64a52710eda90e88dc0e8a5a011e442
remaining423,b2,5to10Traces/0017.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,45486e7c1a54c0d1b69c7fc4e6221d12e666904407bd082fcfdc0f69768ad5c2,2,8,200,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,3090057,2063324,10559098,4795244,1.4976111362054627,2.2019938922816022,14.802736730999868,11.695416281999996,d236d52073cefa5b1d4416039d0a249ea36a2614663293b24dd8ec133294e869,fcfde4a5feb400d26eb2a5c4fd3f01401dc7f92b380714fe9aaa5ef3e336cce2
remaining423,b2,5to10Traces/0018.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,2a201848a120d6627cd6a3129527070df72cfba676dee4fc4872104f9611e1e6,2,225,225,SAT,SAT,1,3,1.0,0.3333333333333333,TRANSLATED_ONLY,TRANSLATED_ONLY,True,1626743,1629905,5167214,3277170,0.9980600096324632,1.5767305327462415,8.890761887999815,10.642568222999898,b6e117accec3b2a7b1076a32ff4584ce5e68c2afab52387c85d15144cd1fc15a,8fb9951cf5a96468af12ef3701a9bd8888e1e62c83f866305083d21bfd5562ae
