campaign,batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,method,attempt,backendTotalClauses,emissionSec,error,modelBytes,modelSha256,parseSec,primaryVars,solverInvoked,status,translationSec,vars,wallSec
remaining423,b2,5to10Traces/0000.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,77fb428a069a6f5b21aeed975b428548a2642a5226f0e4c2e2ac284777a8614b,2,5,5,atlas-b,1,121118,0.41434460800019224,,4354,36b3a991721435ede8921641af50e19b54d75775ede883f2ae9ba026e63bd70d,0.189904258,747,False,TRANSLATED_ONLY,0.76490857600038,38395,1.1798133070001313
remaining423,b2,5to10Traces/0000.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,77fb428a069a6f5b21aeed975b428548a2642a5226f0e4c2e2ac284777a8614b,2,5,5,macro,1,100564,0.21406042899980093,,36637,7f45fefc35f4e1fb7ebfc0212c0b9586d8acb354447219f88a40cc0e929185b4,0.470897351,1602,False,TRANSLATED_ONLY,1.3156550009998682,49172,1.5302912930001185
frozen200,b2,5to10Traces/0002.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,eb40501cc06da1eccd73b8b511a5d40674abeffa8794fa8e717e0fabc662a9eb,2,25,25,atlas-b,1,579857,0.4143871989999752,,11784,a21f2d4aab87f78b97abf7541249bef1a4d9c013175bf54fdc0ef49a7fc4e175,0.305529062,3147,False,TRANSLATED_ONLY,1.4158536550003191,182794,1.830765276999955
frozen200,b2,5to10Traces/0002.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,eb40501cc06da1eccd73b8b511a5d40674abeffa8794fa8e717e0fabc662a9eb,2,25,25,macro,1,474168,0.21412852799949178,,57742,752aafa4cb004e846b907020d1500dcbaa6c9e46ae4af768aeb39d3ff27ad06a,0.598145559,5208,False,TRANSLATED_ONLY,3.168356498999856,236718,3.3830502410000918
remaining423,b2,5to10Traces/0003.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,6f39abe0295506c074ecc2d2ca624dbabd9e790cd4e32e2376c334e22c74ed0b,2,1,25,atlas-b,1,1325516,0.4143858200000068,,9734,b3aedbd97722d584066a8d5b3bff9198faa99453d1138e0d08b5858a438da61f,0.276212291,4567,False,TRANSLATED_ONLY,2.1168069679997643,388266,2.531788910999694
remaining423,b2,5to10Traces/0003.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,6f39abe0295506c074ecc2d2ca624dbabd9e790cd4e32e2376c334e22c74ed0b,2,1,25,macro,1,615606,0.26409026999999696,,66246,b9d3c38d8fd476f25db18187ca45ccb6f5a1c0e548c93d294b94f1ebb756b6a9,0.61257882,6111,False,TRANSLATED_ONLY,3.017973367000195,263090,3.2826377710002816
remaining423,b2,5to10Traces/0004.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,05629bb4f6035f93350157aa5f7d9a45ae7afd501c1d9cfe01c1c67a1b471a14,2,50,50,atlas-b,1,1153269,0.4643940460000522,,21064,6f386fce860d85d94ed5bf2cd48a47184e994ca5427e974ae97a25cbc7763b04,0.443010992,6147,False,TRANSLATED_ONLY,2.5172440210003515,363281,2.982200710000143
remaining423,b2,5to10Traces/0004.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,05629bb4f6035f93350157aa5f7d9a45ae7afd501c1d9cfe01c1c67a1b471a14,2,50,50,macro,1,878086,0.21405671400043502,,70254,9b6c976aee4bc4d9d1aad582846333a8107fa44d57650ad54583212fdf100a9f,0.685788799,9030,False,TRANSLATED_ONLY,5.020356355999866,437799,5.2349673130001975
remaining423,b2,5to10Traces/0005.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,660a589b506704d37a8541151f8c604018739a7d81f670e47eb3eaa1c1d4d439,2,2,50,atlas-b,1,2644600,0.46449070599987863,,16909,4893443fad245e9a97ab76368d14c06dfa045077b477bb8932c82b009a6ddff7,0.390231522,8987,False,TRANSLATED_ONLY,4.520027648999985,774237,4.985089357999868
remaining423,b2,5to10Traces/0005.trace,5to10Traces,plain,5,2,0,5,1,MIN_EXPANDED_SIZE,,5,660a589b506704d37a8541151f8c604018739a7d81f670e47eb3eaa1c1d4d439,2,2,50,macro,1,1221659,0.2642135449998477,,92803,02c459cc4a8e74a72d09237e56538084e613e8e7da5ae8265f200f8b0e1afb3a,0.82797606,11319,False,TRANSLATED_ONLY,4.720222297000191,525155,4.985072916999798
