batch,task,family,category,B,b,p,K,qStates,objectiveKind,constraintFeatures,scope,inputSha256,numAP,positiveTraces,negativeTraces,method,attempt,backendTotalClauses,emissionSec,error,modelBytes,modelSha256,parseSec,primaryVars,solverInvoked,status,translationSec,vars,wallSec
b2,5to10Traces/0135.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,1b6cceba381c9c55c8430ee1ee6b4571c1253381b79984b3214b0df3c84af5ae,2,2,25,atlas-b,1,879958,0.5154049799998575,,10009,e2054ecf5d45a7847cdfed7f80ef45d4650fe4119a637f8961ae9f2aff4dd0e6,0.308347133,4131,False,TRANSLATED_ONLY,1.7670073419999426,256524,2.2854356910002025
b2,5to10Traces/0135.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,1b6cceba381c9c55c8430ee1ee6b4571c1253381b79984b3214b0df3c84af5ae,2,2,25,macro,1,263378,0.2641404030000558,,48469,1dbec8f72d03a6c7616b3a86672620501d886eb0415759c38c8f61d7baea43f3,0.538968353,3690,False,TRANSLATED_ONLY,1.7165385470000274,113600,1.981292465000024
b2,moreDetailedTest/0050.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,2c1c584bebe0b7766b0213e2f82c80bbf7b559e778ea130f01df92aefa0f259b,2,300,300,atlas-b,1,3749374,0.5158603100001073,,114404,0ebe6c80de2b48ae6c4e1e156319d9c1e6f6c164c6bcce9110c5b3da58871fdf,1.327622445,30081,False,TRANSLATED_ONLY,7.475839904000168,1210608,7.993120726999905
b2,moreDetailedTest/0050.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,2c1c584bebe0b7766b0213e2f82c80bbf7b559e778ea130f01df92aefa0f259b,2,300,300,macro,1,1749806,0.2641674439998951,,98683,524bba7979b58b55fd75e6ab85dbb702b94969ac3f309cad477a3a05a6c89ddb,1.410769634,23931,False,TRANSLATED_ONLY,7.075444267999956,892818,7.340241686999889
b2,moreDetailedTest/0053.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,b9457e9a12074ccc13a2761c726d6c5dfa3e9abc5722f4546c812490d7819015,2,500,500,atlas-b,1,6247127,0.5670116400001461,,189134,b56c094752bb3be5ee72332a4e828d8e9b02de37db353d0bc8b93f775469acd4,3.002892722,50081,False,TRANSLATED_ONLY,17.890134263999926,2016959,18.460230835999937
b2,moreDetailedTest/0053.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,b9457e9a12074ccc13a2761c726d6c5dfa3e9abc5722f4546c812490d7819015,2,500,500,macro,1,2631453,0.3142318879999948,,129353,19323216572cb2c685b5839026c931ec4a7767ded22fc2138d06d79cb43931e7,2.239265886,35904,False,TRANSLATED_ONLY,11.179060401000015,1343282,11.49391975399999
b2,5to10Traces/0151.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,e98a99d67e1970c2d431177825de7a20ffb2543cbaf9ddff8358954141101c52,2,13,225,atlas-b,1,7735337,0.5159889530000328,,68362,6923c6fca37b1ebbbf53584ccc258bf48eb4349ef7c562bc2e22fa5e0beaa58e,0.828380549,35781,False,TRANSLATED_ONLY,11.27897136599995,2252795,11.796692358999962
b2,5to10Traces/0151.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,e98a99d67e1970c2d431177825de7a20ffb2543cbaf9ddff8358954141101c52,2,13,225,macro,1,2267176,0.3142936599999757,,122588,95fcb8332b5441457f91b1a072a2d57f73046a9d2857dea2a021be393af0a272,1.394745864,29924,False,TRANSLATED_ONLY,8.027118812000026,976811,8.342076677000023
b2,5to10Traces/0107.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,178d6d3d64ff35e0e1ff913cca0c8d0a07ce0195a3712dfbfad369cdd25dcdec,2,225,8,atlas-b,1,7572675,0.515933442000005,,66984,6b7525e3ff84e4eac56370e26a880b74d32c42fbeef21e9bb7e695def8f47256,0.786404071,35031,False,TRANSLATED_ONLY,10.929106615000137,2205490,11.447341819999792
b2,5to10Traces/0107.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,178d6d3d64ff35e0e1ff913cca0c8d0a07ce0195a3712dfbfad369cdd25dcdec,2,225,8,macro,1,2210605,0.26421493599991663,,122605,2d7304f1a842861bf333f4f55a731602513497a7ce84d6ef1673d6add89a2723,1.359678026,29456,False,TRANSLATED_ONLY,7.87684057499996,958801,8.141738526000154
b2,baseTest/0035.trace,baseTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,b31846ba7ebe249081f7c4b9ee042285ed1d3194b4d893efc9a56086808774a9,2,2,48,atlas-b,1,314978,0.5149381779999658,,11792,86a54349b31072059b87b0bbb4a4ce3849a7cc06b362e5f93c15401ebe60a695,0.311554037,2581,False,TRANSLATED_ONLY,1.1651503169998705,101877,1.6826403649999975
b2,baseTest/0035.trace,baseTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,b31846ba7ebe249081f7c4b9ee042285ed1d3194b4d893efc9a56086808774a9,2,2,48,macro,1,227282,0.21413022000001547,,41612,1bf656581e19afb0450ee9bd2549daaa9095759dc23aaa2598ed13693197a59f,0.558993805,3339,False,TRANSLATED_ONLY,1.8164556130000165,115531,2.0312045460000263
b2,moreDetailedTest/0106.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,e1555ecd63ae937a15801024f37b1eb210c9fc84d618aabb487a4cfcd0ba9133,2,300,300,atlas-b,1,3749369,0.5655123850001473,,114400,d2c7ab55773146574b221c7726fe6a0eb86e31ff530073fadf8fb58e546f9c02,1.360573656,30081,False,TRANSLATED_ONLY,7.724081980999927,1210610,8.290601909000088
b2,moreDetailedTest/0106.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,e1555ecd63ae937a15801024f37b1eb210c9fc84d618aabb487a4cfcd0ba9133,2,300,300,macro,1,1766222,0.26413790300011897,,102083,86f6a4e8a6ac8ad3e5325ce7c43edbf1d12d1b1c9df2d346727f7ee6943dc6ef,1.791125908,24113,False,TRANSLATED_ONLY,6.925104369999872,900490,7.189912568999944
b2,5to10Traces/0142.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,436b64ca4da5bdacfc8950be816246e2cc610f8ec153de76d6de51765295127d,2,125,125,atlas-b,1,1563829,0.4646393079999598,,48950,3671ed15bceb697ad4904955ec08ef095e773b155fe4efa90efd63c923058b42,0.580662395,12581,False,TRANSLATED_ONLY,3.718779515000051,505048,4.1839910070000315
b2,5to10Traces/0142.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,436b64ca4da5bdacfc8950be816246e2cc610f8ec153de76d6de51765295127d,2,125,125,macro,1,879363,0.26419746500005203,,69952,f65baa298b80ca555d63a0a7922ac9f1b160033e567e25f1153da290b2678139,1.215049478,12218,False,TRANSLATED_ONLY,4.670108861000017,449749,4.934929190000048
b2,moreDetailedTest/0108.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,f408a4d5a9b72d379c2ead78bf26000227db4f9f1dca830d9fee783633d3d8f8,2,400,400,atlas-b,1,4998245,0.5145535599999675,,151744,c47f5d06940139d2e13d979f23f7e044ee8a7df2d664c5a34878212a79f7f30a,2.116084954,40081,False,TRANSLATED_ONLY,11.780701971000099,1613781,12.295931635999978
b2,moreDetailedTest/0108.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,f408a4d5a9b72d379c2ead78bf26000227db4f9f1dca830d9fee783633d3d8f8,2,400,400,macro,1,2196402,0.3142194380000092,,116798,685102de25d692670e04358a5c7709eb1f657ed1e65a57ad482b129cd9662663,1.840940767,29820,False,TRANSLATED_ONLY,7.826346680000142,1119429,8.141227553999897
b2,5to10Traces/0103.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,e1a3034eb29a3ce2cdc0011b004fc8cfe908ae000a29283ae55944c0b36bcd9b,2,175,7,atlas-b,1,5915735,0.4644105639999907,,52859,5eff0db7edc9588d70b95accf2e3302031ecb2f594887fe6f308dbf990f630ef,0.629885911,27381,False,TRANSLATED_ONLY,8.625900744000091,1722979,9.090902151000137
b2,5to10Traces/0103.trace,5to10Traces,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,e1a3034eb29a3ce2cdc0011b004fc8cfe908ae000a29283ae55944c0b36bcd9b,2,175,7,macro,1,1736239,0.26418695400002434,,103014,3e0eeecde7da921af7dff3f70cc04738924cc6b278e2dab32a9b38e9bae5ccc6,1.194270659,23099,False,TRANSLATED_ONLY,5.5213023969999995,749184,5.786146376000033
b2,equal/0029.trace,equal,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,b0b757df1984fbb189cd104036ada718f9ab017a51aae6d602b363378f4b397b,2,100,100,atlas-b,1,1251610,0.46438037200005056,,39628,19dfaf223641191d2fe9d7ff141d7db519d3be09fbe5ab24018218e53a02e59d,0.534384608,10081,False,TRANSLATED_ONLY,3.5685324500000206,404250,4.033501566000041
b2,equal/0029.trace,equal,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,b0b757df1984fbb189cd104036ada718f9ab017a51aae6d602b363378f4b397b,2,100,100,macro,1,715676,0.2641761739998856,,63686,9e67784da68a769d93ad323bb1f00f4ef9edf332628a1c17a5f2944db1faa88f,0.748988418,9930,False,TRANSLATED_ONLY,4.019221537000021,365387,4.2840049349999845
b2,moreDetailedTest/0055.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,1183178c8767dd12f98917129108ec5fb88816c431a4f75b16d2dfa73c672b32,2,5,5,atlas-b,1,65172,0.41433459800009587,,4354,ddb82d8397365658ff4bbeb09b4871d2633ba4062315b99a4a8d6e4e7680531a,0.184078106,581,False,TRANSLATED_ONLY,0.6646358919999784,21234,1.0795968840000114
b2,moreDetailedTest/0055.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,1183178c8767dd12f98917129108ec5fb88816c431a4f75b16d2dfa73c672b32,2,5,5,macro,1,47199,0.21406987800014576,,23986,95ef474caf4764c2e7270286e307960cefb23808c7ac9b114223f9f8174e5bf8,0.385748198,856,False,TRANSLATED_ONLY,1.015132427000026,23858,1.22979066899984
b2,moreDetailedTest/0109.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,8ec12fb251529d587f9c7bfa85915698457040f5698347c15730a5b132e737e3,2,500,500,atlas-b,1,6247132,0.5646405360000699,,189064,76ff7dabc8668949ba87a3e2a5e449cf2db30ae6fb1001164f44f22172c315b5,2.795499247,50081,False,TRANSLATED_ONLY,16.73642300000006,2016962,17.30184822299998
b2,moreDetailedTest/0109.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,8ec12fb251529d587f9c7bfa85915698457040f5698347c15730a5b132e737e3,2,500,500,macro,1,2642245,0.3142211879999195,,132747,c97b887ddec8e457700abbc681a226f10ee5d3de4a5db7e61fa05d578906ca75,2.189763953,35917,False,TRANSLATED_ONLY,10.82848673400008,1345447,11.143355107999923
b2,moreDetailedTest/0100.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,ae943fed0f23fd01580a802978ac508e788b67e43b5932095fd40f4fd4d327e3,2,10,10,atlas-b,1,127617,0.41435927800011996,,6176,34b4cfac07c68b1fa0d0e584180b89163c36c5bcef96872cef4b85889baede6e,0.232955274,1081,False,TRANSLATED_ONLY,0.8649171219999516,41394,1.2798528140001508
b2,moreDetailedTest/0100.trace,moreDetailedTest,plain,3,2,0,3,1,MIN_EXPANDED_SIZE,,3,ae943fed0f23fd01580a802978ac508e788b67e43b5932095fd40f4fd4d327e3,2,10,10,macro,1,86842,0.2140894090000529,,27187,ea998e3d0d6fde15eeff238fd8783d06ebc7c45de6e0a6caccf8599806e76e91,0.436544451,1389,False,TRANSLATED_ONLY,1.165406884000049,43723,1.380108317000122
