caseId,family,task,inputSha256,B,b,oracleStatus,oraclePrimary,oracleSecondary,oracleSatVerified,oracleWallSec,oldOracleStatus,oldOraclePrimary,oldOracleSecondary,atlasBStatus,atlasBPrimary,atlasBSecondary,atlasBSatVerified,macroStatus,macroPrimary,macroSecondary,macroSatVerified,macroStatusDiff,macroObjectiveDiff,atlasBStatusDiff,atlasBObjectiveDiff,oldOracleChanged
tiny_01000,plain,plain/tiny_01000.trace,3fb3117d98feded09d5be73c72ea57b46d7b40060392b4f8a41e54a0b0e1e48a,3,0,SAT,0,2,True,0.06644896999932826,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01001,nnf,nnf/tiny_01001.trace,081aff87b746f04402ce6d093e2d8193743a9507aabf2642276c2685b7efc18a,3,0,SAT,0,2,True,0.06518250699809869,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01002,cnf,cnf/tiny_01002.trace,3be32fa357680d1eda5ec71ae2663edc9eeaff5a6919ee0e83065aecae25b494,2,0,UNSAT,0,0,False,0.06399194100231398,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01003,dnf,dnf/tiny_01003.trace,cbe93b18d80a56540e88c7a9e58002b216fb8cfb2d29a6ddfe6ecf045282013d,2,0,UNSAT,0,0,False,0.054997287999867694,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01004,required,required/tiny_01004.trace,b498d21d41f6d0ad55101e93eea424aa00b394e925b393e2119a09b905a69517,3,0,SAT,0,2,True,0.06523201700110803,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01005,no_dag_reuse,no_dag_reuse/tiny_01005.trace,d03821bd79dc93c65c09fcae414def1f064848f6367d487ddebf4708f9c6cef2,3,0,SAT,0,2,True,0.06357350100006443,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01006,global_prop,global_prop/tiny_01006.trace,f88115ad10347b1d40ab1037bf41e6c2e8bd4eef779bec41f53bbc89b15ebcb6,2,0,UNSAT,0,0,False,0.0574910209979862,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01007,repair,repair/tiny_01007.trace,8f2ad6cfa36fbc834e79209e73d6bbb800ea646163ef367595ca61a65303acb7,4,0,SAT,0,3,True,0.23890939600096317,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01008,plain,plain/tiny_01008.trace,d67383490d6b9859027b342bf2041615fd47b0863cb879aad1ffbd1245bfb157,3,0,SAT,0,2,True,0.04780062699865084,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01009,nnf,nnf/tiny_01009.trace,0d1d9d5a5753cd6fdd8f273e8f341d46596692e5ffbe8020b2818b13f6b3560e,3,0,SAT,0,2,True,0.05864396299875807,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01010,cnf,cnf/tiny_01010.trace,f4bdf8f8fc0beead20e2b6485eeb6b531e7417263fbc9a18473dbf919bd18167,2,0,SAT,0,1,True,0.02486884599784389,SAT,0,1,SAT,0,1,True,SAT,0,1,True,False,False,False,False,False
tiny_01011,dnf,dnf/tiny_01011.trace,23c365a115520a1b82a0d810b6782ecf369f7a6dde8dafab5ef11de697b9daf9,2,0,SAT,0,1,True,0.024613227000372717,SAT,0,1,SAT,0,1,True,SAT,0,1,True,False,False,False,False,False
tiny_01012,required,required/tiny_01012.trace,4dea5e2c4bc4ccddf3e8172f15cf146939edeaf9fe9687393114d377333decfb,3,0,SAT,0,2,True,0.04674190299920156,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01013,no_dag_reuse,no_dag_reuse/tiny_01013.trace,26735aaaf24ca70d819f4e551519dd924ca2bd08c763595f4c3d2bdbf4167e51,3,0,SAT,0,2,True,0.05240065299949492,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01014,global_prop,global_prop/tiny_01014.trace,f902fe6eb28c29daf655305fee666fbb5c775db80c22c6382275c03a6489d581,3,0,SAT,0,2,True,0.049080322998634074,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01015,repair,repair/tiny_01015.trace,317a8ef08d68ca50734674d7af7caade222842c195ddbf17531e870595756682,2,0,UNSAT,0,0,False,0.09953252800187329,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01016,plain,plain/tiny_01016.trace,edade652f5cf5e9fc5ad983d1c0cbf5e205648d5bfd6a12626bafa15e91feeaa,4,0,SAT,0,3,True,0.1058325820013124,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01017,nnf,nnf/tiny_01017.trace,5bb0ccb2e408aa3013952a0035c07e45719c3367bd70cc9f1f9ea9d021f934f2,4,0,SAT,0,3,True,0.09512449499743525,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01018,cnf,cnf/tiny_01018.trace,a2c88ff3fa5f50921da80611587896dc2660728aed3d5924015f18959274225d,3,0,SAT,0,2,True,0.039415964998624986,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01019,dnf,dnf/tiny_01019.trace,22fd0c5fcc7a8035d19547260a2c7ef96ab5a4ffe084a29720c2f6778daa4b19,3,0,SAT,0,2,True,0.05203809500017087,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01020,required,required/tiny_01020.trace,112a04b5e47734a56dc668ab7ff395915b3b10f75a46e5c4704fcdf9c18e6c1b,4,0,SAT,0,3,True,0.0951686949993018,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01021,no_dag_reuse,no_dag_reuse/tiny_01021.trace,b274da2f55d581e071dd7db37abfed2d1b447a738e551041f6dbd7750c20c08a,4,0,SAT,0,3,True,0.08570560100270086,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01022,global_prop,global_prop/tiny_01022.trace,821577eef2609853ba456dfb8dc79f95fd8222e7403a26966ecc9439e6127dbe,4,0,SAT,0,3,True,0.07977965099780704,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01023,repair,repair/tiny_01023.trace,bd05a8854ca97055f30af17fe89b98e995a7169f0de1daf2f28c71b61d6a2ae4,3,0,SAT,1,2,True,0.044114136002463056,SAT,1,2,SAT,1,2,True,SAT,1,2,True,False,False,False,False,False
tiny_01024,plain,plain/tiny_01024.trace,318a9916ed39049c8e551ebacc32749c9e3031934363bafc2754b83f7eb0182f,2,0,UNSAT,0,0,False,0.03067165800166549,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01025,nnf,nnf/tiny_01025.trace,6904946af0821c129cb40515c3db4bf18394266a6c42746de785baa34ee0ef3d,2,0,UNSAT,0,0,False,0.03301303599801031,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01026,cnf,cnf/tiny_01026.trace,03775c9b86969613cd80e5e8e341b2c024adab287c98e4d4e04ce4ab833cda06,3,1,SAT,0,3,True,0.12761435999709647,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01027,dnf,dnf/tiny_01027.trace,9ea70c158bcba3198be406df4fa1b6280276d1840c26d24af2b70c314dcb1d64,3,1,SAT,0,3,True,0.09564968300037435,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01028,required,required/tiny_01028.trace,ca49ba8a83eccb549f17135854abca971136ee8b9731a3b3034130395719aa0d,2,0,UNSAT,0,0,False,0.034559879000880755,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01029,no_dag_reuse,no_dag_reuse/tiny_01029.trace,39815d056a65453d0b06c1858ee9b1be34454cfe4f2971f6baa53f9be607a5a4,2,0,UNSAT,0,0,False,0.04801511100231437,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01030,global_prop,global_prop/tiny_01030.trace,5fb36b559354e0bd3a5559d2e3d3b664ec421049dfd9bf951a0f5f5f1b7ad3ac,4,1,SAT,0,4,True,0.2163485259989102,SAT,0,4,SAT,0,4,True,SAT,0,4,True,False,False,False,False,False
tiny_01031,repair,repair/tiny_01031.trace,6df586b4ecadc304966bc410e605669a046e54ed3a64a9876801c79232fc6fbc,4,0,SAT,0,3,True,0.18290659000194864,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01032,plain,plain/tiny_01032.trace,e310fa817477086af1d09f284085a90d4672a03bdded37211a6a8e9742391581,2,0,SAT,0,1,True,0.022691529000439914,SAT,0,1,SAT,0,1,True,SAT,0,1,True,False,False,False,False,False
tiny_01033,nnf,nnf/tiny_01033.trace,cde4c03706beb88c07c5adbd11dad625b993053a60c0f97fd2d10f5630bc5ea1,2,0,SAT,0,1,True,0.022112460999778705,SAT,0,1,SAT,0,1,True,SAT,0,1,True,False,False,False,False,False
tiny_01034,cnf,cnf/tiny_01034.trace,1939d218b3f84405e267eeca2ca29881d472ce9e9e83fc8852c28f9f41110e3f,3,1,SAT,0,3,True,0.08716240099965944,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01035,dnf,dnf/tiny_01035.trace,13d3569f4fe6780b3f592a1ea1f0c04476ff674b3db718df0cc0cebf4baf4500,3,1,SAT,0,3,True,0.1421224549994804,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01036,required,required/tiny_01036.trace,125f72d9c7b58c1a9a8393703b29dd995c6514906bab229d52ff6c68cfebbb7b,2,0,SAT,0,1,True,0.018405270999210188,SAT,0,1,SAT,0,1,True,SAT,0,1,True,False,False,False,False,False
tiny_01037,no_dag_reuse,no_dag_reuse/tiny_01037.trace,4f97c8c2dc2a9a6acb4d5d1a52d35c248bd65da673396b32e49d1e2868f3c244,2,0,SAT,0,1,True,0.020215497999743093,SAT,0,1,SAT,0,1,True,SAT,0,1,True,False,False,False,False,False
tiny_01038,global_prop,global_prop/tiny_01038.trace,60171cc74785a0963143c171f5f22a4ea3072dcbfecc9f48b2c422f4c014b803,4,1,SAT,0,4,True,0.19409964899750776,SAT,0,4,SAT,0,4,True,SAT,0,4,True,False,False,False,False,False
tiny_01039,repair,repair/tiny_01039.trace,af9700c617ab042aa4ac2d17ffb65769acc8a2780d3d38b78c6c6575289f19a5,2,0,UNSAT,0,0,False,0.08075569699940388,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01040,plain,plain/tiny_01040.trace,e8273677fe59a92a546cbd866bc2fe2cfe65d03480969b9049631dc8e3dc932e,3,0,SAT,0,2,True,0.04199916899960954,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01041,nnf,nnf/tiny_01041.trace,71783776ade99368be4af27c39e4f2253b1c920ee2fcf1d9ef4d9be5b0ac9063,3,0,SAT,0,2,True,0.04539806600223528,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01042,cnf,cnf/tiny_01042.trace,91aea5c639edda8cfff62dc1f7ba6694bbffdee73b4f0d4904a3714ca068bcdd,2,0,UNSAT,0,0,False,0.037454180001077475,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01043,dnf,dnf/tiny_01043.trace,0b257bfb129f767b6149b70c9fd651642310c58782c4924bf059b2aa30b84e68,2,0,UNSAT,0,0,False,0.049777318999986164,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01044,required,required/tiny_01044.trace,c59c1a10629fedc05d6789ca904b87271e57ac1daf38f101cf7b9c2575f71971,3,0,SAT,0,2,True,0.04002892999778851,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01045,no_dag_reuse,no_dag_reuse/tiny_01045.trace,5fffe09394b7fcdacda2d40dbdf9c29d60fffd24c1ace4c7efff507e02f7420c,3,0,SAT,0,2,True,0.0406393310004205,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01046,global_prop,global_prop/tiny_01046.trace,ebb39b4b2310b8d2d10865f42a4edab681cab561a73263f04bbdc44c6d9db4de,2,0,UNSAT,0,0,False,0.036799814999540104,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01047,repair,repair/tiny_01047.trace,52b97342aa0160bce17b8c2ff6f87135dd531cf90210f2307a1b090fa26f3cc4,3,0,SAT,1,2,True,0.046659441999509,SAT,1,2,SAT,1,2,True,SAT,1,2,True,False,False,False,False,False
tiny_01048,plain,plain/tiny_01048.trace,7a3738817dc059798eee426e2dd7fe4e8b4af0f7bd6da9aee48250da47a6c39f,3,1,SAT,0,3,True,0.11263579800288426,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01049,nnf,nnf/tiny_01049.trace,55907b3c173306a998cf84e5508af034e408101ded0961f4ca4a2bbf78fa0091,3,1,SAT,0,3,True,0.1267433829998481,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01050,cnf,cnf/tiny_01050.trace,876fc8c1957776779cd54c760f458e06486d3a0cf1bab8abc6f2e88627e611a7,2,0,SAT,0,1,True,0.02283008100130246,SAT,0,1,SAT,0,1,True,SAT,0,1,True,False,False,False,False,False
tiny_01051,dnf,dnf/tiny_01051.trace,5b6ce6b0c621ab02493256ca477ebc0ebcea73f1f66e8e102cab1d11b9ebdf09,2,0,SAT,0,1,True,0.022251238002354512,SAT,0,1,SAT,0,1,True,SAT,0,1,True,False,False,False,False,False
tiny_01052,required,required/tiny_01052.trace,2b6cd4469575d56b04aaa4598f7aa7ef326d09aaf23c946116dc5f16c5119d3c,3,1,SAT,0,3,True,0.11912418400243041,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01053,no_dag_reuse,no_dag_reuse/tiny_01053.trace,e32c9d7e248f78788395647d2d419f85acb6aea96c38cd14962adf68b2151e6b,3,1,SAT,0,3,True,0.1258528309990652,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01054,global_prop,global_prop/tiny_01054.trace,9aa70231c1df8d484cebc00c121b6a102b8d5458d659dceac66ab8821d4e434c,3,0,SAT,0,2,True,0.04991052599871182,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01055,repair,repair/tiny_01055.trace,baeff2548b46b8d9ea193a02e8326c041b906ff59c2887c7c5cfebf27dcedb2e,4,0,SAT,0,3,True,0.13957949199902941,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01056,plain,plain/tiny_01056.trace,081a5bf2dee53d2193a2c607fc232052f5f84d365e845f37976a2bf3a835fdeb,3,1,SAT,0,3,True,0.12664348199905362,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01057,nnf,nnf/tiny_01057.trace,032082e002f4441a9874a96731a5419bb42c44a7244884314d55ae07ff681420,3,1,SAT,0,3,True,0.09814999700029148,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01058,cnf,cnf/tiny_01058.trace,79464aea97d0d89982b1520d5e56b4affe10ae44c732c1f8b72b5e450f51062a,3,0,SAT,0,2,True,0.041165480000927346,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01059,dnf,dnf/tiny_01059.trace,4ff166806752009852e91a503faf6ea06fd40719663b19752d6f5e43ff5fd9bb,3,0,SAT,0,2,True,0.046240838997618994,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01060,required,required/tiny_01060.trace,df58e75765c49b53b918159562242b50fe12441b2d1ed74f99c6be3dbf315e26,3,1,SAT,0,3,True,0.13121548399794847,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01061,no_dag_reuse,no_dag_reuse/tiny_01061.trace,0c42e411bd34cde92d78f292f7e9cf8f535cf7da14e2648bb68754b8bc84e74c,3,1,SAT,0,3,True,0.10516015599932871,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01062,global_prop,global_prop/tiny_01062.trace,cde3e0b25a44016bbc66218f92e7cebb8d55599c33f89eb0017cdc2c692efac4,4,0,SAT,0,3,True,0.09136636800030828,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01063,repair,repair/tiny_01063.trace,545baeff3f8508ce6617ec9c3cf21baaaa86eb8041071a4141b965464eeb723f,2,0,UNSAT,0,0,False,0.08485456899870769,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01064,plain,plain/tiny_01064.trace,27e581f1c1822e286119c96aecd7725adbd0e06a15aed2f9a4b0be45eb12fe9a,3,0,SAT,0,2,True,0.04980879000140703,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01065,nnf,nnf/tiny_01065.trace,6ff82a26acc4a031d9e6fcef7f753c57c90f212d585241e7bca4a1b462040ae6,3,0,SAT,0,2,True,0.04863480299900402,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01066,cnf,cnf/tiny_01066.trace,bb14eae396844b82f82344d7c7787a836be4c51f8c48eb42ae6f3d491146ed04,3,1,SAT,0,3,True,0.10285050000311458,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01067,dnf,dnf/tiny_01067.trace,c8fc59e5fe8d489ccf179ebe5ce7cf3abc9175484fa19bfa75af14790dc6f286,3,1,SAT,0,3,True,0.1096358680006233,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01068,required,required/tiny_01068.trace,5cf5046060b14f9d95e3ae9631c08712317464c537047e9e6e7e6f129529d7ce,3,0,SAT,0,2,True,0.04750319699815009,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01069,no_dag_reuse,no_dag_reuse/tiny_01069.trace,494efe167c841c2bade51f270fb96e224740a72d7926803326e98041aeef6164,3,0,SAT,0,2,True,0.05351415299810469,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01070,global_prop,global_prop/tiny_01070.trace,09fd21edd43da870f8daa7e5858aee20348d5ec89c53fcab5d9a1d94d29e385f,4,1,SAT,0,4,True,0.16582177600139403,SAT,0,4,SAT,0,4,True,SAT,0,4,True,False,False,False,False,False
tiny_01071,repair,repair/tiny_01071.trace,a4132faf6b2461677640b8c92e85c10489b52291ec49dc976adead84522e31f1,3,0,SAT,1,2,True,0.04314551700008451,SAT,1,2,SAT,1,2,True,SAT,1,2,True,False,False,False,False,False
tiny_01072,plain,plain/tiny_01072.trace,c7d85b9bb5a3929e0a9542e64b340c447a3f2af826283091a8b56c4495bb32e3,3,0,SAT,0,2,True,0.05004885200105491,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01073,nnf,nnf/tiny_01073.trace,57902c73aa8aac9e30488d550e568861286e45dca6006a409422b6b57adc2e14,3,0,SAT,0,2,True,0.04517200500049512,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01074,cnf,cnf/tiny_01074.trace,ddd5688ff73dd9f555e6901b852a25876edb8bf275865faadcc0431d1b4832dd,3,1,SAT,0,3,True,0.11152801400021417,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01075,dnf,dnf/tiny_01075.trace,2fc2ec501da0592aa19e96e1773dca3c929e0f37bd6c52c04904444402096acf,3,1,SAT,0,3,True,0.11922098500144784,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01076,required,required/tiny_01076.trace,6415676d00cbc29363fe5a18e1b2201fa5d4b7597941686f91c41ef86310fbab,3,0,SAT,0,2,True,0.044746216997737065,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01077,no_dag_reuse,no_dag_reuse/tiny_01077.trace,d75cfbf189eb62c6609b1f263cc7891a62712c35768342fb4632546a4bc230cf,3,0,SAT,0,2,True,0.05496943199977977,SAT,0,2,SAT,0,2,True,SAT,0,2,True,False,False,False,False,False
tiny_01078,global_prop,global_prop/tiny_01078.trace,b964dc9ff744211f41f90f6ae306a908f5b94554348e3c283cee0b2c4d2932af,4,1,SAT,0,4,True,0.2187566299980972,SAT,0,4,SAT,0,4,True,SAT,0,4,True,False,False,False,False,False
tiny_01079,repair,repair/tiny_01079.trace,a11a427809fde57c89a98729454b5569dffc97ed054955860bfec409a3aa4637,4,0,SAT,0,3,True,0.22348335900096572,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01080,plain,plain/tiny_01080.trace,7a35ce204483a985f6fea6c67ed1fe8f925b8404eeafdd394cd16b9567d47d47,4,0,SAT,0,3,True,0.10804049199941801,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01081,nnf,nnf/tiny_01081.trace,b032d1ffb2239dc3f27868e2c5f4a12a75c6c213f7031476880c204c647a3f43,4,0,SAT,0,3,True,0.11004934899756336,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01082,cnf,cnf/tiny_01082.trace,a44d55efad938cc2caaa1ccf2ce5b0dd3bd62eb3035e95090e18e5a9e6880d51,2,0,UNSAT,0,0,False,0.0316900789985084,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01083,dnf,dnf/tiny_01083.trace,8c0d3933b3ab02c174e5a8b51c2783bbb3fef7342691b7b0ddd69ec607528535,2,0,UNSAT,0,0,False,0.03482115099905059,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
tiny_01084,required,required/tiny_01084.trace,727b2279414ca0bbf8e369650e50a61d3fe5d0aa10a27a1df943987df70b326f,4,0,SAT,0,3,True,0.10470471499866107,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01085,no_dag_reuse,no_dag_reuse/tiny_01085.trace,434e45baadd9aee863160bb1a30b3298b163660a00cff887d02da35f4f8d24ed,4,0,SAT,0,3,True,0.07919773599860491,SAT,0,3,SAT,0,3,True,SAT,0,3,True,False,False,False,False,False
tiny_01086,global_prop,global_prop/tiny_01086.trace,985aa508ae7379657b96f3daf5da896ce5b634c2da73856c6f471fffe8437be3,2,0,UNSAT,0,0,False,0.04495935199884116,UNSAT,0,0,UNSAT,0,0,False,UNSAT,0,0,False,False,False,False,False,False
