task,family,category,algorithm,B,b,status,objectiveKind,objectivePrimary,objectiveSecondary,verification,totalSec,bothDecisive,pairStatusAgreement,pairObjectiveAgreement
5to10Traces/0000.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,1.3727129569997487,True,True,True
5to10Traces/0000.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,2.01962475099981,True,True,True
5to10Traces/0002.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,2.681924471000457,True,True,True
5to10Traces/0002.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,4.9471814619998895,True,True,True
5to10Traces/0003.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,4.130317978000676,True,True,True
5to10Traces/0003.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,4.533624872000473,True,True,True
5to10Traces/0004.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,4.515630896000403,True,True,True
5to10Traces/0004.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,8.081105343000218,True,True,True
5to10Traces/0005.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,6.6359818910000286,True,True,True
5to10Traces/0005.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,10.412136991000125,True,True,True
5to10Traces/0006.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,5.670750630000839,True,True,True
5to10Traces/0006.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,10.76428891500018,True,True,True
5to10Traces/0007.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,10.914950995999789,True,True,True
5to10Traces/0007.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,10.661449472000186,True,True,True
5to10Traces/0008.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,7.987452383000345,True,True,True
5to10Traces/0008.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,17.782749059999333,True,True,True
5to10Traces/0009.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,12.560354598999993,True,True,True
5to10Traces/0009.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,16.636009619000106,True,True,True
5to10Traces/0010.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,10.823322652999991,True,True,True
5to10Traces/0010.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,18.472751777999974,True,True,True
5to10Traces/0011.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,22.443718737999916,True,True,True
5to10Traces/0011.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,13.36316738000005,True,True,True
5to10Traces/0012.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,10.035336608000762,True,True,True
5to10Traces/0012.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,20.086835930999996,True,True,True
5to10Traces/0013.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,20.77529031299855,True,True,True
5to10Traces/0013.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,19.623934948998794,True,True,True
5to10Traces/0014.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,13.081229458999587,True,True,True
5to10Traces/0014.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,16.707587052000235,True,True,True
5to10Traces/0015.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,24.196251706999647,True,True,True
5to10Traces/0015.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,28.15070994600137,True,True,True
5to10Traces/0016.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,17.120992011,True,True,True
5to10Traces/0016.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,20.123747234999428,True,True,True
5to10Traces/0017.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,28.869363826999916,True,True,True
5to10Traces/0017.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,23.751465603999918,True,True,True
5to10Traces/0018.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,19.76913699099896,True,True,True
5to10Traces/0018.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,28.809953281999697,True,True,True
5to10Traces/0019.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,33.39325099400048,True,True,True
5to10Traces/0019.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,24.430970430999878,True,True,True
5to10Traces/0020.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,17.90925212600007,True,True,True
5to10Traces/0020.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,35.82780501800005,True,True,True
5to10Traces/0021.trace,5to10Traces,unconstrained,ATLAS-B,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,37.7047411679996,True,True,True
5to10Traces/0021.trace,5to10Traces,unconstrained,MacroATLAS,5,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,40.11937716099965,True,True,True
5to10Traces/0022.trace,5to10Traces,unconstrained,ATLAS-B,10,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,1.7231571869997424,True,True,True
5to10Traces/0022.trace,5to10Traces,unconstrained,MacroATLAS,10,2,SAT,MIN_EXPANDED_SIZE,0,3,PASSED,3.2575171730004513,True,True,True
5to10Traces/0023.trace,5to10Traces,unconstrained,ATLAS-B,10,2,SAT,MIN_EXPANDED_SIZE,0,5,PASSED,17.95575235599972,True,True,True
5to10Traces/0023.trace,5to10Traces,unconstrained,MacroATLAS,10,2,SAT,MIN_EXPANDED_SIZE,0,5,PASSED,6.9591881619999185,True,True,True
5to10Traces/0024.trace,5to10Traces,unconstrained,ATLAS-B,10,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.09462376699958,False,,
5to10Traces/0024.trace,5to10Traces,unconstrained,MacroATLAS,10,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.06350541499978,False,,
5to10Traces/0025.trace,5to10Traces,unconstrained,ATLAS-B,10,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.13866602999997,False,,
5to10Traces/0025.trace,5to10Traces,unconstrained,MacroATLAS,10,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.16497409600015,False,,
5to10Traces/0026.trace,5to10Traces,unconstrained,ATLAS-B,10,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.1105673940001,False,,
5to10Traces/0026.trace,5to10Traces,unconstrained,MacroATLAS,10,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.16771608700037,False,,
5to10Traces/0027.trace,5to10Traces,unconstrained,ATLAS-B,10,2,TIMEOUT,MIN_EXPANDED_SIZE,,,IN_PROGRESS,180.25112239400005,False,,
