algorithm,caseId,family,method,status,objectiveKind,objectivePrimary,objectiveSecondary,verification,totalSec,B,b,numAP,positiveTraceCount,negativeTraceCount,finalFormulaSize,binaryNodeCount,unaryNodeCount,unaryDepth,dagNodeCount,hasSharing,positiveTracePassed,negativeTracePassed,constraintAutomatonPassed,identityConstraintsPassed,vars,backendTotalClauses,peakRssKb,error
Oracle,tiny_01000,plain,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21508621599969047,3,0,1,1,1,,,,,,,,,,,,,44668,
ATLAS-B,tiny_01000,plain,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7149651069998981,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,5848,17763,97068,
MacroATLAS,tiny_01000,plain,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.7146839199999704,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,2328,4528,99856,
Oracle,tiny_01001,nnf,oracle,SAT,MIN_EXPANDED_SIZE,0,2,REFERENCE_EXHAUSTIVE,0.21399828900030116,3,0,1,1,1,,,,,,,,,,,,,44928,
ATLAS-B,tiny_01001,nnf,atlas-b,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8153039570001965,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,10077,32398,108716,
MacroATLAS,tiny_01001,nnf,macro,SAT,MIN_EXPANDED_SIZE,0,2,PASSED,0.8152218750001339,3,0,1,1,1,2,0,1,1,2,False,True,True,True,True,3221,6955,109868,
Oracle,tiny_01002,cnf,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.21441642900026636,2,0,1,2,1,,,,,,,,,,,,,44996,
ATLAS-B,tiny_01002,cnf,atlas-b,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.765720932000022,2,0,1,2,1,,,,,,,,,,,8134,25641,102136,
MacroATLAS,tiny_01002,cnf,macro,UNSAT,MIN_EXPANDED_SIZE,0,0,NOT_APPLICABLE_UNSAT,0.7648687199998676,2,0,1,2,1,,0,,,,,,,,,3209,6984,109352,
Oracle,tiny_01003,dnf,oracle,UNSAT,MIN_EXPANDED_SIZE,0,0,REFERENCE_EXHAUSTIVE,0.16474971200022992,2,0,1,2,1,,,,,,,,,,,,,44648,
